watchlist_id,user_id,item_type,item_target_id,notes,created_at
92,699,shop,232,监测232店铺动态,2023-04-08 10:46:15
93,72,country,柬埔寨,监测柬埔寨政策变化,2023-04-09 06:37:18
94,735,brand,L'Oreal,分析L'Oreal品牌策略,2023-04-09 10:40:02
95,873,shop,175,跟踪175店铺评级,2023-04-10 02:22:55
96,771,shop,429,分析429运营策略,2023-04-11 01:58:28
97,741,country,菲律宾,跟踪菲律宾电商动态,2023-04-13 00:43:00
98,426,product,952,跟踪952销售情况,2023-04-14 05:11:03
99,627,brand,Dior,分析Dior品牌策略,2023-04-14 15:52:00
100,210,keyword,fashion,跟踪fashion搜索趋势,2023-04-14 16:20:51
101,111,keyword,skincare,分析skincare竞争情况,2023-04-15 14:36:00
102,516,brand,Chanel,Chanel品牌市场监控,2023-04-16 02:46:40
103,432,product,418,监测418价格趋势,2023-04-16 12:48:25
104,798,brand,Chanel,跟踪Chanel品牌动态,2023-04-20 18:28:45
105,777,product,359,分析359促销活动,2023-04-21 11:01:31
106,27,category,图书文具,图书文具品类市场分析,2023-04-21 15:02:33
107,852,competitor,Xiaomi品牌,竞争对手Xiaomi品牌监控,2023-04-21 15:53:25
108,75,brand,Chanel,分析Chanel品牌策略,2023-04-21 23:54:51
109,435,shop,482,482官方店表现,2023-04-22 11:24:30
110,378,country,老挝,分析老挝消费趋势,2023-04-23 12:07:58
111,885,brand,Xiaomi,Xiaomi品牌市场监控,2023-04-24 21:01:40
112,531,category,汽车配件,跟踪汽车配件品类趋势,2023-04-25 13:04:49
113,45,competitor,Wardah品牌,监测Wardah品牌产品线,2023-04-26 04:29:54
114,786,brand,Dior,分析Dior品牌策略,2023-04-27 23:30:07
115,429,brand,Xiaomi,跟踪Xiaomi品牌动态,2023-05-01 14:07:07
116,405,shop,432,跟踪432店铺评级,2023-05-02 18:24:51
117,825,country,印尼,印尼市场监控,2023-05-03 07:32:55
118,930,competitor,LV平台,分析LV平台市场策略,2023-05-05 05:30:10
119,264,product,236,监测236价格趋势,2023-05-06 02:41:04
120,966,shop,4,4官方店表现,2023-05-07 07:57:59
121,477,product,245,跟踪245销售情况,2023-05-07 21:51:26
122,654,keyword,electronics,electronics关键词市场热度,2023-05-07 22:47:34
123,987,shop,499,499官方店表现,2023-05-10 16:18:11
124,45,competitor,Xiaomi平台,监测Xiaomi平台产品线,2023-05-11 10:31:52
125,483,brand,Dior,跟踪Dior品牌动态,2023-05-12 04:50:56
126,645,category,汽车配件,监测汽车配件竞争格局,2023-05-12 05:02:30
127,624,keyword,pet food,监测pet food话题热度,2023-05-13 12:25:36
128,615,category,食品饮料,分析食品饮料市场规模,2023-05-13 12:52:51
129,576,category,家居生活,监测家居生活竞争格局,2023-05-14 15:35:51
130,495,category,电子产品,监测电子产品竞争格局,2023-05-14 23:17:39
131,771,brand,Adidas,观察Adidas品牌影响力,2023-05-15 01:13:28
132,378,keyword,handbag,分析handbag竞争情况,2023-05-15 07:59:29
133,729,competitor,Prada店铺,监测Prada店铺产品线,2023-05-15 11:56:10
134,702,keyword,handbag,分析handbag竞争情况,2023-05-16 14:38:19
135,168,keyword,sunscreen,分析sunscreen竞争情况,2023-05-17 10:11:35
136,810,keyword,fashion,跟踪fashion搜索趋势,2023-05-18 22:56:14
137,555,category,时尚服饰,分析时尚服饰市场规模,2023-05-20 01:58:09
138,885,category,玩具游戏,分析玩具游戏市场规模,2023-05-20 07:50:50
139,717,product,407,观察407市场竞争,2023-05-21 00:28:05
140,684,brand,Nike,跟踪Nike品牌动态,2023-05-23 04:16:44
141,843,brand,Dior,观察Dior品牌影响力,2023-05-25 04:43:50
142,534,product,281,跟踪281销售情况,2023-05-26 19:59:32
143,72,country,老挝,分析老挝消费趋势,2023-05-26 22:21:11
144,975,category,汽车配件,汽车配件品类市场分析,2023-05-28 10:16:41
145,276,competitor,Toyota平台,竞争对手Toyota平台监控,2023-06-02 21:34:00
146,768,competitor,Prada店铺,分析Prada店铺市场策略,2023-06-03 17:46:38
147,567,product,837,监测837价格趋势,2023-06-05 01:25:44
148,57,competitor,Estee Lauder店铺,监测Estee Lauder店铺产品线,2023-06-06 14:43:11
149,612,category,运动户外,分析运动户外市场规模,2023-06-06 22:46:07
150,300,shop,403,监测403店铺动态,2023-06-07 09:22:32
151,474,competitor,LV平台,跟踪LV平台竞争动态,2023-06-08 02:01:25
152,249,competitor,Adidas公司,跟踪Adidas公司竞争动态,2023-06-10 15:30:27
153,543,brand,Xiaomi,观察Xiaomi品牌影响力,2023-06-10 20:27:06
154,531,category,母婴用品,跟踪母婴用品品类趋势,2023-06-12 07:55:55
155,222,product,110,监测110价格趋势,2023-06-12 15:43:23
156,945,keyword,home appliance,home appliance关键词市场热度,2023-06-13 07:50:11
157,228,competitor,Toyota品牌,竞争对手Toyota品牌监控,2023-06-14 15:12:10
158,705,keyword,sports shoes,分析sports shoes竞争情况,2023-06-15 04:16:09
159,879,product,920,分析920促销活动,2023-06-15 22:12:43
160,243,competitor,Gucci平台,分析Gucci平台市场策略,2023-06-17 03:32:25
161,123,keyword,sustainable,监测sustainable话题热度,2023-06-17 19:39:58
162,351,keyword,laptop,分析laptop竞争情况,2023-06-18 00:59:54
163,330,country,菲律宾,分析菲律宾消费趋势,2023-06-19 03:56:51
164,621,brand,Shiseido,观察Shiseido品牌影响力,2023-06-19 04:27:11
165,603,category,美妆护肤,监测美妆护肤竞争格局,2023-06-19 22:02:19
166,75,country,老挝,监测老挝政策变化,2023-06-21 23:36:36
167,840,product,443,分析443促销活动,2023-06-24 02:47:36
168,675,keyword,pet food,分析pet food竞争情况,2023-06-24 14:18:58
169,900,country,柬埔寨,监测柬埔寨政策变化,2023-06-25 09:40:44
170,810,brand,Uniqlo,观察Uniqlo品牌影响力,2023-06-26 02:19:10
171,66,shop,462,分析462运营策略,2023-06-27 02:42:01
172,192,brand,Mistine,Mistine品牌市场监控,2023-06-27 13:31:27
173,339,keyword,makeup,跟踪makeup搜索趋势,2023-07-01 00:42:10
174,888,country,泰国,泰国市场监控,2023-07-02 00:29:09
175,900,brand,Nike,观察Nike品牌影响力,2023-07-02 15:14:29
176,588,category,运动户外,跟踪运动户外品类趋势,2023-07-03 01:12:09
177,144,product,963,监测963价格趋势,2023-07-03 03:23:12
178,459,product,350,监测350价格趋势,2023-07-03 16:25:06
179,576,product,105,分析105促销活动,2023-07-04 11:11:31
180,567,competitor,Honda平台,分析Honda平台市场策略,2023-07-04 18:55:23
181,519,competitor,Honda平台,分析Honda平台市场策略,2023-07-04 21:54:50
182,864,brand,Wardah,分析Wardah品牌策略,2023-07-06 07:27:57
183,735,keyword,sunscreen,跟踪sunscreen搜索趋势,2023-07-06 10:16:07
184,858,competitor,Adidas平台,跟踪Adidas平台竞争动态,2023-07-06 15:15:07
185,750,product,40,监测40价格趋势,2023-07-06 18:18:16
186,372,brand,Honda,观察Honda品牌影响力,2023-07-07 09:20:03
187,651,product,166,分析166促销活动,2023-07-08 13:57:40
188,216,competitor,Honda公司,分析Honda公司市场策略,2023-07-09 06:20:01
189,663,product,5,监测5价格趋势,2023-07-09 09:37:19
190,996,shop,330,330官方店表现,2023-07-09 21:41:40
191,882,product,254,跟踪254销售情况,2023-07-10 13:06:56
192,258,competitor,Mistine公司,分析Mistine公司市场策略,2023-07-11 18:36:03
193,156,keyword,handbag,监测handbag话题热度,2023-07-12 01:33:24
194,693,shop,47,分析47运营策略,2023-07-12 20:10:15
195,963,shop,214,监测214店铺动态,2023-07-13 10:56:43
196,975,category,运动户外,运动户外品类市场分析,2023-07-16 04:02:56
197,981,product,585,分析585促销活动,2023-07-17 05:19:06
198,507,category,食品饮料,监测食品饮料竞争格局,2023-07-17 08:45:23
199,726,shop,294,分析294运营策略,2023-07-18 10:44:05
200,522,shop,481,481官方店表现,2023-07-18 14:12:36
201,519,product,886,监测886价格趋势,2023-07-19 14:44:22
202,507,product,776,分析776促销活动,2023-07-19 18:21:24
203,591,category,食品饮料,监测食品饮料竞争格局,2023-07-20 11:11:22
204,831,country,老挝,老挝市场监控,2023-07-20 15:03:44
205,381,competitor,Toyota公司,监测Toyota公司产品线,2023-07-21 13:07:27
206,96,brand,Honda,Honda品牌市场监控,2023-07-22 07:41:29
207,756,keyword,sustainable,跟踪sustainable搜索趋势,2023-07-22 09:42:29
208,222,brand,Chanel,跟踪Chanel品牌动态,2023-07-23 00:35:38
209,213,product,24,监测24价格趋势,2023-07-25 01:25:54
210,399,product,760,跟踪760销售情况,2023-07-25 07:26:05
211,168,competitor,Apple平台,分析Apple平台市场策略,2023-07-26 06:16:15
212,462,shop,179,跟踪179店铺评级,2023-07-27 00:24:07
213,540,country,印尼,分析印尼消费趋势,2023-07-27 10:30:55
214,99,shop,377,监测377店铺动态,2023-07-27 11:14:58
215,648,competitor,Wardah公司,竞争对手Wardah公司监控,2023-08-01 14:06:05
216,624,keyword,organic,跟踪organic搜索趋势,2023-08-05 19:01:09
217,537,competitor,Shiseido公司,跟踪Shiseido公司竞争动态,2023-08-05 20:49:23
218,621,competitor,Shiseido平台,分析Shiseido平台市场策略,2023-08-06 02:49:10
219,60,competitor,Gucci店铺,监测Gucci店铺产品线,2023-08-08 18:13:29
220,201,keyword,furniture,furniture关键词市场热度,2023-08-09 22:10:35
221,648,keyword,furniture,跟踪furniture搜索趋势,2023-08-11 08:23:11
222,639,product,135,分析135促销活动,2023-08-12 19:22:30
223,39,product,795,分析795促销活动,2023-08-13 07:40:19
224,231,keyword,sunscreen,监测sunscreen话题热度,2023-08-14 21:50:43
225,798,category,家居生活,分析家居生活市场规模,2023-08-18 20:24:32
226,600,shop,69,监测69店铺动态,2023-08-20 17:52:10
227,324,keyword,makeup,makeup关键词市场热度,2023-08-22 00:38:06
228,354,country,马来西亚,马来西亚市场监控,2023-08-24 06:29:28
229,99,shop,366,监测366店铺动态,2023-08-25 03:53:38
230,351,competitor,Xiaomi公司,跟踪Xiaomi公司竞争动态,2023-08-25 17:40:28
231,201,competitor,L'Oreal公司,竞争对手L'Oreal公司监控,2023-08-28 14:07:21
232,663,keyword,smart home,smart home关键词市场热度,2023-09-02 00:29:39
233,300,competitor,Shiseido公司,跟踪Shiseido公司竞争动态,2023-09-04 06:18:36
234,423,country,马来西亚,马来西亚市场监控,2023-09-07 08:26:53
235,747,product,789,监测789价格趋势,2023-09-08 20:08:23
236,39,country,印尼,分析印尼消费趋势,2023-09-09 02:31:54
237,522,brand,Nike,观察Nike品牌影响力,2023-09-11 05:42:17
238,927,keyword,organic,分析organic竞争情况,2023-09-12 21:31:16
239,702,country,老挝,分析老挝消费趋势,2023-09-13 06:19:59
240,486,product,94,分析94促销活动,2023-09-14 21:18:04
241,456,country,马来西亚,跟踪马来西亚电商动态,2023-09-14 23:17:28
242,594,category,玩具游戏,跟踪玩具游戏品类趋势,2023-09-15 21:46:57
243,657,product,77,分析77促销活动,2023-09-18 15:38:54
244,996,competitor,Adidas平台,监测Adidas平台产品线,2023-09-20 11:32:25
245,615,keyword,healthy food,healthy food关键词市场热度,2023-09-21 19:44:39
246,348,competitor,Wardah店铺,跟踪Wardah店铺竞争动态,2023-09-22 09:30:32
247,687,shop,444,444官方店表现,2023-09-24 05:16:14
248,552,category,时尚服饰,跟踪时尚服饰品类趋势,2023-09-25 18:25:48
249,255,keyword,home appliance,监测home appliance话题热度,2023-09-25 23:16:43
250,306,country,新加坡,跟踪新加坡电商动态,2023-09-26 04:46:50
251,138,country,马来西亚,监测马来西亚政策变化,2023-09-26 14:48:57
252,372,country,柬埔寨,柬埔寨市场监控,2023-09-26 16:20:20
253,831,country,老挝,监测老挝政策变化,2023-09-28 16:59:57
254,240,competitor,Shiseido公司,分析Shiseido公司市场策略,2023-10-01 12:15:26
255,219,shop,244,监测244店铺动态,2023-10-01 18:19:20
256,624,competitor,Apple店铺,跟踪Apple店铺竞争动态,2023-10-01 19:04:03
257,951,competitor,Maybelline公司,竞争对手Maybelline公司监控,2023-10-01 20:45:29
258,657,shop,176,176官方店表现,2023-10-03 06:23:15
259,444,competitor,Xiaomi公司,跟踪Xiaomi公司竞争动态,2023-10-04 00:04:52
260,147,product,187,分析187促销活动,2023-10-05 15:51:14
261,381,product,486,跟踪486销售情况,2023-10-06 07:27:37
262,78,shop,65,跟踪65店铺评级,2023-10-07 13:21:12
263,222,keyword,kitchenware,监测kitchenware话题热度,2023-10-07 21:11:27
264,957,country,柬埔寨,分析柬埔寨消费趋势,2023-10-08 09:50:24
265,474,product,160,观察160市场竞争,2023-10-08 12:31:53
266,816,country,柬埔寨,柬埔寨市场监控,2023-10-09 12:24:37
267,870,competitor,Estee Lauder平台,分析Estee Lauder平台市场策略,2023-10-10 12:36:53
268,474,product,385,跟踪385销售情况,2023-10-10 16:05:35
269,597,product,855,观察855市场竞争,2023-10-11 10:42:41
270,480,competitor,LV品牌,跟踪LV品牌竞争动态,2023-10-11 13:03:45
271,477,category,时尚服饰,时尚服饰品类市场分析,2023-10-13 03:31:54
272,822,keyword,makeup,跟踪makeup搜索趋势,2023-10-14 12:41:28
273,894,brand,Nike,分析Nike品牌策略,2023-10-14 14:10:58
274,741,brand,Xiaomi,分析Xiaomi品牌策略,2023-10-16 07:22:14
275,933,product,834,观察834市场竞争,2023-10-16 23:01:09
276,843,brand,Xiaomi,跟踪Xiaomi品牌动态,2023-10-18 09:11:06
277,12,shop,61,61官方店表现,2023-10-18 10:34:05
278,150,category,汽车配件,跟踪汽车配件品类趋势,2023-10-18 12:22:48
279,261,brand,Honda,跟踪Honda品牌动态,2023-10-19 12:03:53
280,348,shop,453,453官方店表现,2023-10-19 17:40:01
281,297,competitor,L'Oreal店铺,分析L'Oreal店铺市场策略,2023-10-20 06:06:22
282,423,shop,217,跟踪217店铺评级,2023-10-21 06:51:03
283,390,brand,Nike,跟踪Nike品牌动态,2023-10-21 17:45:25
284,987,competitor,Maybelline公司,竞争对手Maybelline公司监控,2023-10-23 14:21:15
285,927,country,缅甸,缅甸市场监控,2023-10-23 20:24:38
286,744,product,488,分析488促销活动,2023-10-25 17:06:17
287,246,competitor,LG平台,竞争对手LG平台监控,2023-10-27 05:45:14
288,231,shop,500,500官方店表现,2023-10-27 12:32:31
289,327,category,家居生活,跟踪家居生活品类趋势,2023-10-28 16:44:03
290,24,keyword,home appliance,home appliance关键词市场热度,2023-11-03 13:29:40
291,255,competitor,Toyota店铺,竞争对手Toyota店铺监控,2023-11-03 13:33:46
292,738,product,90,分析90促销活动,2023-11-04 00:59:43
293,42,category,图书文具,跟踪图书文具品类趋势,2023-11-05 14:07:56
294,516,country,越南,分析越南消费趋势,2023-11-05 14:56:00
295,66,product,776,观察776市场竞争,2023-11-07 05:28:05
296,744,category,图书文具,监测图书文具竞争格局,2023-11-08 07:26:48
297,747,product,943,分析943促销活动,2023-11-08 07:55:06
298,309,keyword,laptop,laptop关键词市场热度,2023-11-09 05:00:14
299,513,product,59,分析59促销活动,2023-11-10 18:46:11
300,90,competitor,Apple店铺,竞争对手Apple店铺监控,2023-11-11 15:45:36
301,645,brand,Chanel,分析Chanel品牌策略,2023-11-12 03:42:36
302,252,keyword,electronics,跟踪electronics搜索趋势,2023-11-12 15:10:29
303,921,category,汽车配件,跟踪汽车配件品类趋势,2023-11-13 17:21:16
304,45,product,711,观察711市场竞争,2023-11-14 15:15:46
305,738,country,印尼,跟踪印尼电商动态,2023-11-15 16:46:09
306,492,brand,Uniqlo,Uniqlo品牌市场监控,2023-11-16 08:13:54
307,15,competitor,LG店铺,分析LG店铺市场策略,2023-11-16 11:10:17
308,957,shop,234,234官方店表现,2023-11-16 17:51:12
309,57,competitor,Xiaomi店铺,竞争对手Xiaomi店铺监控,2023-11-17 01:32:59
310,237,brand,Adidas,跟踪Adidas品牌动态,2023-11-20 02:16:08
311,501,category,时尚服饰,时尚服饰品类市场分析,2023-11-20 19:14:23
312,120,shop,413,监测413店铺动态,2023-11-23 15:38:33
313,966,brand,Wardah,分析Wardah品牌策略,2023-11-25 10:01:07
314,828,brand,L'Oreal,跟踪L'Oreal品牌动态,2023-11-26 06:51:08
315,537,shop,283,283官方店表现,2023-11-26 12:58:13
316,525,shop,308,308官方店表现,2023-11-27 11:54:42
317,648,product,752,跟踪752销售情况,2023-12-01 02:17:02
318,633,shop,456,跟踪456店铺评级,2023-12-01 03:37:57
319,765,country,新加坡,跟踪新加坡电商动态,2023-12-02 23:45:45
320,678,brand,Apple,跟踪Apple品牌动态,2023-12-03 04:52:28
321,903,country,缅甸,监测缅甸政策变化,2023-12-03 07:10:03
322,297,category,运动户外,运动户外品类市场分析,2023-12-06 07:50:54
323,492,keyword,eco-friendly,监测eco-friendly话题热度,2023-12-06 14:47:14
324,858,keyword,eco-friendly,跟踪eco-friendly搜索趋势,2023-12-07 09:58:17
325,615,keyword,pet food,分析pet food竞争情况,2023-12-08 13:03:56
326,141,category,母婴用品,监测母婴用品竞争格局,2023-12-09 00:20:07
327,930,keyword,skincare,监测skincare话题热度,2023-12-09 04:31:54
328,972,competitor,Apple公司,跟踪Apple公司竞争动态,2023-12-10 10:46:50
329,489,keyword,smart home,smart home关键词市场热度,2023-12-10 13:39:39
330,933,shop,402,监测402店铺动态,2023-12-10 15:23:06
331,681,keyword,organic,监测organic话题热度,2023-12-11 01:35:27
332,672,keyword,smart home,跟踪smart home搜索趋势,2023-12-13 01:19:10
333,336,brand,Maybelline,观察Maybelline品牌影响力,2023-12-14 01:57:10
334,369,competitor,Mistine品牌,竞争对手Mistine品牌监控,2023-12-14 05:11:13
335,873,brand,L'Oreal,分析L'Oreal品牌策略,2023-12-15 10:47:45
336,369,category,电子产品,电子产品品类市场分析,2023-12-16 22:39:09
337,708,shop,232,跟踪232店铺评级,2023-12-17 12:36:48
338,642,shop,440,440官方店表现,2023-12-19 17:12:23
339,618,product,543,观察543市场竞争,2023-12-19 23:45:07
340,741,product,665,跟踪665销售情况,2023-12-20 09:06:46
341,336,country,菲律宾,跟踪菲律宾电商动态,2023-12-21 07:50:24
342,90,keyword,pet food,跟踪pet food搜索趋势,2023-12-21 09:26:05
343,687,country,泰国,跟踪泰国电商动态,2023-12-21 17:57:29
344,201,category,运动户外,跟踪运动户外品类趋势,2023-12-22 22:58:50
345,873,country,菲律宾,跟踪菲律宾电商动态,2023-12-23 00:34:06
346,762,competitor,Apple品牌,分析Apple品牌市场策略,2023-12-24 11:21:17
347,300,shop,203,203官方店表现,2023-12-25 07:11:07
348,672,competitor,Adidas品牌,竞争对手Adidas品牌监控,2023-12-26 14:08:28
349,240,brand,Maybelline,跟踪Maybelline品牌动态,2023-12-26 23:22:51
350,726,keyword,skincare,分析skincare竞争情况,2023-12-28 01:04:45
351,90,product,475,跟踪475销售情况,2023-12-28 02:58:29
352,966,brand,LV,LV品牌市场监控,2023-12-28 22:02:35
353,340,brand,L'Oreal,分析L'Oreal品牌策略,2024-01-01 19:28:45
354,66,shop,271,271官方店表现,2024-01-02 03:05:21
355,444,product,47,监测47价格趋势,2024-01-02 03:32:32
356,835,country,老挝,跟踪老挝电商动态,2024-01-02 05:31:05
357,873,brand,Uniqlo,跟踪Uniqlo品牌动态,2024-01-02 15:06:10
358,472,country,马来西亚,分析马来西亚消费趋势,2024-01-02 18:27:42
359,744,category,图书文具,图书文具品类市场分析,2024-01-02 19:10:30
360,52,keyword,kitchenware,分析kitchenware竞争情况,2024-01-03 01:42:05
361,634,competitor,Honda品牌,监测Honda品牌产品线,2024-01-03 03:19:44
362,576,category,时尚服饰,跟踪时尚服饰品类趋势,2024-01-03 07:49:58
363,796,shop,389,分析389运营策略,2024-01-03 14:30:33
364,439,competitor,Prada店铺,竞争对手Prada店铺监控,2024-01-03 15:04:02
365,913,shop,478,监测478店铺动态,2024-01-03 19:47:37
366,43,category,美妆护肤,美妆护肤品类市场分析,2024-01-04 04:19:19
367,586,brand,Xiaomi,分析Xiaomi品牌策略,2024-01-04 10:32:58
368,7,country,文莱,跟踪文莱电商动态,2024-01-04 16:18:55
369,439,product,525,跟踪525销售情况,2024-01-04 16:46:41
370,159,keyword,furniture,跟踪furniture搜索趋势,2024-01-05 21:37:47
371,714,brand,L'Oreal,L'Oreal品牌市场监控,2024-01-06 22:28:01
372,481,shop,200,分析200运营策略,2024-01-07 06:06:49
373,139,keyword,skincare,skincare关键词市场热度,2024-01-07 18:46:13
374,121,category,母婴用品,监测母婴用品竞争格局,2024-01-07 23:00:06
375,115,brand,Prada,分析Prada品牌策略,2024-01-08 09:31:34
376,409,product,74,分析74促销活动,2024-01-09 10:40:04
377,967,competitor,Estee Lauder品牌,监测Estee Lauder品牌产品线,2024-01-10 03:32:06
378,793,competitor,Prada公司,监测Prada公司产品线,2024-01-10 12:24:36
379,657,product,953,分析953促销活动,2024-01-10 13:20:29
380,544,competitor,Mistine店铺,分析Mistine店铺市场策略,2024-01-10 15:50:27
381,294,brand,Mistine,Mistine品牌市场监控,2024-01-10 21:27:21
382,427,keyword,electronics,分析electronics竞争情况,2024-01-12 09:25:43
383,361,product,225,分析225促销活动,2024-01-12 09:32:50
384,846,shop,29,29官方店表现,2024-01-12 10:06:30
385,829,keyword,smartphone,smartphone关键词市场热度,2024-01-13 23:40:10
386,355,brand,Adidas,观察Adidas品牌影响力,2024-01-14 14:32:50
387,174,shop,4,分析4运营策略,2024-01-15 00:38:16
