provider_id,provider_name,service_type,countries_covered,contact_info,user_rating_avg,review_count,is_verified
14,Legal Solutions KH,legal,[7],"{""website"": ""https://www.khbusinesslawyers.co.kh"", ""email"": ""contact@khbusinesslawyers.co.kh"", ""phone"": ""+855233742702"", ""address"": ""Contact for detailed address information""}",4.8,1211,True
15,E-commerce Marketing Pro,marketing_agency,[1],"{""website"": ""https://www.southeastasiamarketingagency-id.com"", ""email"": ""contact@southeastasiamarketingagency-id.com"", ""phone"": ""+62287788240"", ""address"": ""Contact for detailed address information""}",4.9,3515,False
16,Global IT服务,it_services,"[1, 2, 3, 4, 6, 8]","{""website"": ""https://www.aseanit服务.world"", ""email"": ""info@aseanit服务.world"", ""phone"": ""+71309115507"", ""address"": ""Contact for detailed address information""}",4.5,3593,True
17,营销代理 Network,marketing_agency,"[6, 8]","{""website"": ""https://www.international营销代理.global"", ""email"": ""info@international营销代理.global"", ""phone"": ""+93388602307"", ""address"": ""Contact for detailed address information""}",4.6,1982,True
18,Singapore Marketing Hub,marketing_agency,[5],"{""website"": ""https://www.singaporemarketinghub-sg.com"", ""email"": ""contact@singaporemarketinghub-sg.com"", ""phone"": ""+65295658578"", ""address"": ""Contact for detailed address information""}",4.7,1597,False
19,BN 电商平台 Solutions,ecommerce_platform,[10],"{""website"": ""https://www.woocommerceexperts-bn.com"", ""email"": ""contact@woocommerceexperts-bn.com"", ""phone"": ""+673223689425"", ""address"": ""Contact for detailed address information""}",4.4,273,True
20,IT服务 Cambodia,it_services,[7],"{""website"": ""https://www.khit服务solutions.com.kh"", ""email"": ""contact@khit服务solutions.com.kh"", ""phone"": ""+855225179331"", ""address"": ""Contact for detailed address information""}",4.3,903,False
21,Kerry Logistics,logistics,"[1, 3, 4, 6, 7, 10]","{""website"": ""https://www.ups.asia"", ""email"": ""info@ups.asia"", ""phone"": ""+89500431822"", ""address"": ""Contact for detailed address information""}",4.9,3406,True
22,Laos 翻译服务,translation,[8],"{""website"": ""https://www.laostranslation-la.com"", ""email"": ""contact@laostranslation-la.com"", ""phone"": ""+856269005188"", ""address"": ""Contact for detailed address information""}",4.0,476,False
23,Legal Solutions SG,legal,[5],"{""website"": ""https://www.singaporecorporatelegal.com.sg"", ""email"": ""contact@singaporecorporatelegal.com.sg"", ""phone"": ""+65269751487"", ""address"": ""Contact for detailed address information""}",4.8,1141,True
24,Thailand Consulting,consulting,[2],"{""website"": ""https://www.thailandconsulting-th.com"", ""email"": ""contact@thailandconsulting-th.com"", ""phone"": ""+66229483754"", ""address"": ""Contact for detailed address information""}",5.0,2731,True
25,Worldwide 法律服务,legal,"[2, 5, 6]","{""website"": ""https://www.worldwide法律服务.com"", ""email"": ""info@worldwide法律服务.com"", ""phone"": ""+81865218810"", ""address"": ""Contact for detailed address information""}",4.8,4914,True
26,Brunei Accounting Services,accounting,[10],"{""website"": ""https://www.bruneifinancialadvisors.com.bn"", ""email"": ""contact@bruneifinancialadvisors.com.bn"", ""phone"": ""+673278561211"", ""address"": ""Contact for detailed address information""}",4.5,1375,True
27,Malaysia Insurance,insurance,[4],"{""website"": ""https://www.malaysia保险服务.co.my"", ""email"": ""contact@malaysia保险服务.co.my"", ""phone"": ""+60292156751"", ""address"": ""Contact for detailed address information""}",4.5,3531,True
28,LA 翻译服务 Solutions,translation,[8],"{""website"": ""https://www.la翻译服务solutions.co.la"", ""email"": ""contact@la翻译服务solutions.co.la"", ""phone"": ""+856234956437"", ""address"": ""Contact for detailed address information""}",4.1,674,False
29,Singapore IT服务,it_services,[5],"{""website"": ""https://www.singaporeit服务.co.sg"", ""email"": ""contact@singaporeit服务.co.sg"", ""phone"": ""+65292109759"", ""address"": ""Contact for detailed address information""}",4.4,241,True
30,Laos Ecommerce Platform,ecommerce_platform,[8],"{""website"": ""https://www.电商平台laos-la.com"", ""email"": ""contact@电商平台laos-la.com"", ""phone"": ""+856215002370"", ""address"": ""Contact for detailed address information""}",4.7,1980,True
31,Singapore Freight Services,logistics,[5],"{""website"": ""https://www.dhlglobalforwarding.com.sg"", ""email"": ""contact@dhlglobalforwarding.com.sg"", ""phone"": ""+65255924507"", ""address"": ""Contact for detailed address information""}",4.5,2493,True
32,BN 保险服务 Solutions,insurance,[10],"{""website"": ""https://www.bruneiinsurance-bn.com"", ""email"": ""contact@bruneiinsurance-bn.com"", ""phone"": ""+673220228424"", ""address"": ""Contact for detailed address information""}",4.6,761,True
33,Digital Vietnam,marketing_agency,[3],"{""website"": ""https://www.vnsocialmediaagency.co.vn"", ""email"": ""contact@vnsocialmediaagency.co.vn"", ""phone"": ""+84223416822"", ""address"": ""Contact for detailed address information""}",5.0,4020,True
34,保险服务 Cambodia,insurance,[7],"{""website"": ""https://www.保险服务cambodia.com.kh"", ""email"": ""contact@保险服务cambodia.com.kh"", ""phone"": ""+855286868714"", ""address"": ""Contact for detailed address information""}",4.5,3468,False
35,支付网关 Asia Pacific,payment_gateway,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","{""website"": ""https://www.regional支付网关solutions.global"", ""email"": ""info@regional支付网关solutions.global"", ""phone"": ""+7201505029"", ""address"": ""Contact for detailed address information""}",4.7,1658,True
36,Thailand Marketing Hub,marketing_agency,[2],"{""website"": ""https://www.thsocialmediaagency.com.th"", ""email"": ""contact@thsocialmediaagency.com.th"", ""phone"": ""+66280250956"", ""address"": ""Contact for detailed address information""}",4.7,3239,True
37,GrabPay,payment_gateway,[3],"{""website"": ""https://www.vietnampaymentgateway.com.vn"", ""email"": ""contact@vietnampaymentgateway.com.vn"", ""phone"": ""+84284309172"", ""address"": ""Contact for detailed address information""}",4.6,2001,True
38,BN Business Lawyers,legal,[10],"{""website"": ""https://www.bruneicorporatelegal-bn.com"", ""email"": ""contact@bruneicorporatelegal-bn.com"", ""phone"": ""+673225593610"", ""address"": ""Contact for detailed address information""}",4.6,1137,True
39,Regional 清关服务 Solutions,customs_clearance,"[1, 2, 3, 4, 5, 7, 8, 9, 10]","{""website"": ""https://www.aseancustomsalliance.global"", ""email"": ""info@aseancustomsalliance.global"", ""phone"": ""+12415564026"", ""address"": ""Contact for detailed address information""}",4.7,3712,True
40,Southeast Asia 咨询服务,consulting,"[2, 5, 7, 10]","{""website"": ""https://www.咨询服务asiapacific.asia"", ""email"": ""info@咨询服务asiapacific.asia"", ""phone"": ""+82278409675"", ""address"": ""Contact for detailed address information""}",4.6,2741,False
41,ASEAN Customs Alliance,customs_clearance,[7],"{""website"": ""https://www.clearfastkh.co.kh"", ""email"": ""contact@clearfastkh.co.kh"", ""phone"": ""+855226964188"", ""address"": ""Contact for detailed address information""}",4.5,4106,False
42,Legal Solutions KH,legal,[7],"{""website"": ""https://www.cambodiacorporatelegal.co.kh"", ""email"": ""contact@cambodiacorporatelegal.co.kh"", ""phone"": ""+855282274671"", ""address"": ""Contact for detailed address information""}",4.3,565,False
43,Global 物流服务,logistics,"[2, 4, 8]","{""website"": ""https://www.international物流服务.asia"", ""email"": ""info@international物流服务.asia"", ""phone"": ""+48812388813"", ""address"": ""Contact for detailed address information""}",4.3,704,True
44,Myanmar 咨询服务,consulting,[9],"{""website"": ""https://www.myanmar咨询服务-mm.com"", ""email"": ""contact@myanmar咨询服务-mm.com"", ""phone"": ""+95212631107"", ""address"": ""Contact for detailed address information""}",4.7,1432,False
45,WooCommerce Experts,ecommerce_platform,[1],"{""website"": ""https://www.id电商平台solutions-id.com"", ""email"": ""contact@id电商平台solutions-id.com"", ""phone"": ""+62249666910"", ""address"": ""Contact for detailed address information""}",4.2,479,False
46,KH 咨询服务 Solutions,consulting,[7],"{""website"": ""https://www.cambodiaconsulting-kh.com"", ""email"": ""contact@cambodiaconsulting-kh.com"", ""phone"": ""+855228910371"", ""address"": ""Contact for detailed address information""}",4.7,627,True
47,Vietnam Customs Agent,customs_clearance,[3],"{""website"": ""https://www.vntradesolutions.com.vn"", ""email"": ""contact@vntradesolutions.com.vn"", ""phone"": ""+84292399247"", ""address"": ""Contact for detailed address information""}",4.3,307,False
48,翻译服务 Laos,translation,[8],"{""website"": ""https://www.laostranslation.com.la"", ""email"": ""contact@laostranslation.com.la"", ""phone"": ""+856247918602"", ""address"": ""Contact for detailed address information""}",4.2,439,False
49,LA IT服务 Solutions,it_services,[8],"{""website"": ""https://www.lait服务solutions.co.la"", ""email"": ""contact@lait服务solutions.co.la"", ""phone"": ""+856283295684"", ""address"": ""Contact for detailed address information""}",4.5,1175,True
50,Malaysia 电商平台,ecommerce_platform,[4],"{""website"": ""https://www.电商平台malaysia-my.com"", ""email"": ""contact@电商平台malaysia-my.com"", ""phone"": ""+60275299982"", ""address"": ""Contact for detailed address information""}",4.5,3695,True
51,Shopify Partners,ecommerce_platform,"[3, 4, 5, 6, 9]","{""website"": ""https://www.电商平台asiapacific.global"", ""email"": ""info@电商平台asiapacific.global"", ""phone"": ""+84947361896"", ""address"": ""Contact for detailed address information""}",4.5,1053,True
52,Laos Financial Advisors,accounting,[8],"{""website"": ""https://www.laosaccountingservices.co.la"", ""email"": ""contact@laosaccountingservices.co.la"", ""phone"": ""+856292451901"", ""address"": ""Contact for detailed address information""}",4.4,503,False
53,VN 保险服务 Solutions,insurance,[3],"{""website"": ""https://www.保险服务vietnam-vn.com"", ""email"": ""contact@保险服务vietnam-vn.com"", ""phone"": ""+84277371660"", ""address"": ""Contact for detailed address information""}",4.5,4512,False
54,Brunei It Services,it_services,[10],"{""website"": ""https://www.it服务brunei.com.bn"", ""email"": ""contact@it服务brunei.com.bn"", ""phone"": ""+673288524244"", ""address"": ""Contact for detailed address information""}",4.7,563,True
55,Indonesia It Services,it_services,[1],"{""website"": ""https://www.indonesiaitservices-id.com"", ""email"": ""contact@indonesiaitservices-id.com"", ""phone"": ""+62269009991"", ""address"": ""Contact for detailed address information""}",4.8,1384,True
56,MY 咨询服务 Solutions,consulting,[4],"{""website"": ""https://www.咨询服务malaysia.co.my"", ""email"": ""contact@咨询服务malaysia.co.my"", ""phone"": ""+60255509087"", ""address"": ""Contact for detailed address information""}",4.4,217,True
57,Regional 咨询服务 Solutions,consulting,"[2, 4, 6, 10]","{""website"": ""https://www.southeastasia咨询服务.global"", ""email"": ""info@southeastasia咨询服务.global"", ""phone"": ""+85382006269"", ""address"": ""Contact for detailed address information""}",4.8,2341,True
58,Southeast Asia 保险服务,insurance,"[1, 2, 3, 4, 6, 7, 8, 9]","{""website"": ""https://www.保险服务asiapacific.asia"", ""email"": ""info@保险服务asiapacific.asia"", ""phone"": ""+40519826901"", ""address"": ""Contact for detailed address information""}",4.5,4365,False
59,Cambodia 咨询服务,consulting,[7],"{""website"": ""https://www.cambodia咨询服务.co.kh"", ""email"": ""contact@cambodia咨询服务.co.kh"", ""phone"": ""+855227558831"", ""address"": ""Contact for detailed address information""}",4.8,4995,False
60,MY 保险服务 Solutions,insurance,[4],"{""website"": ""https://www.malaysiainsurance.com.my"", ""email"": ""contact@malaysiainsurance.com.my"", ""phone"": ""+60250996333"", ""address"": ""Contact for detailed address information""}",4.4,124,True
61,Southeast Asia 履单服务,fulfillment,"[5, 6, 8, 9, 10]","{""website"": ""https://www.履单服务asiapacific.asia"", ""email"": ""info@履单服务asiapacific.asia"", ""phone"": ""+26827229673"", ""address"": ""Contact for detailed address information""}",4.7,3221,True
62,履单服务 Cambodia,fulfillment,[7],"{""website"": ""https://www.cambodia履单服务.co.kh"", ""email"": ""contact@cambodia履单服务.co.kh"", ""phone"": ""+855295742823"", ""address"": ""Contact for detailed address information""}",4.3,299,False
63,Malaysia Customs Services,customs_clearance,[4],"{""website"": ""https://www.aseancustomsalliance.com.my"", ""email"": ""contact@aseancustomsalliance.com.my"", ""phone"": ""+60281188977"", ""address"": ""Contact for detailed address information""}",4.5,2860,False
64,Legal Solutions VN,legal,[3],"{""website"": ""https://www.vietnamlegalpartners.co.vn"", ""email"": ""contact@vietnamlegalpartners.co.vn"", ""phone"": ""+84284863944"", ""address"": ""Contact for detailed address information""}",4.4,581,True
65,ID 支付网关 Solutions,payment_gateway,[1],"{""website"": ""https://www.支付网关indonesia.co.id"", ""email"": ""contact@支付网关indonesia.co.id"", ""phone"": ""+62241517974"", ""address"": ""Contact for detailed address information""}",4.2,239,False
66,Shopify Partners,ecommerce_platform,[1],"{""website"": ""https://www.shopifypartners.com.id"", ""email"": ""contact@shopifypartners.com.id"", ""phone"": ""+62267591174"", ""address"": ""Contact for detailed address information""}",4.4,474,False
67,Southeast Asia 支付网关,payment_gateway,"[1, 5, 6, 7, 8, 9, 10]","{""website"": ""https://www.grabpay.world"", ""email"": ""info@grabpay.world"", ""phone"": ""+64550519080"", ""address"": ""Contact for detailed address information""}",4.3,950,True
68,Indonesia Financial Advisors,accounting,[1],"{""website"": ""https://www.indonesiafinancialadvisors-id.com"", ""email"": ""contact@indonesiafinancialadvisors-id.com"", ""phone"": ""+62273283549"", ""address"": ""Contact for detailed address information""}",4.4,174,True
69,支付网关 Indonesia,payment_gateway,[1],"{""website"": ""https://www.indonesiapaymentgateway-id.com"", ""email"": ""contact@indonesiapaymentgateway-id.com"", ""phone"": ""+62257870496"", ""address"": ""Contact for detailed address information""}",4.8,3713,False
70,Malaysia It Services,it_services,[4],"{""website"": ""https://www.it服务malaysia.co.my"", ""email"": ""contact@it服务malaysia.co.my"", ""phone"": ""+60254967943"", ""address"": ""Contact for detailed address information""}",4.1,538,False
71,Cambodia Cargo Solutions,logistics,[7],"{""website"": ""https://www.fastdeliverykh.co.kh"", ""email"": ""contact@fastdeliverykh.co.kh"", ""phone"": ""+855283991588"", ""address"": ""Contact for detailed address information""}",4.6,1200,False
72,Indonesia IT服务,it_services,[1],"{""website"": ""https://www.it服务indonesia.com.id"", ""email"": ""contact@it服务indonesia.com.id"", ""phone"": ""+62226063592"", ""address"": ""Contact for detailed address information""}",4.3,608,False
73,MOLPay,payment_gateway,"[2, 3, 6, 8]","{""website"": ""https://www.international支付网关.global"", ""email"": ""info@international支付网关.global"", ""phone"": ""+68612794734"", ""address"": ""Contact for detailed address information""}",4.4,461,True
74,Worldwide 翻译服务,translation,"[4, 6, 7, 9, 10]","{""website"": ""https://www.翻译服务network.world"", ""email"": ""info@翻译服务network.world"", ""phone"": ""+63455223365"", ""address"": ""Contact for detailed address information""}",4.5,2408,True
75,Kerry Logistics,logistics,"[2, 3, 4, 8]","{""website"": ""https://www.international物流服务.global"", ""email"": ""info@international物流服务.global"", ""phone"": ""+92389830203"", ""address"": ""Contact for detailed address information""}",4.7,2165,True
76,营销代理 Asia Pacific,marketing_agency,"[1, 2, 3, 7, 8, 9]","{""website"": ""https://www.southeastasia营销代理.asia"", ""email"": ""info@southeastasia营销代理.asia"", ""phone"": ""+56172339066"", ""address"": ""Contact for detailed address information""}",4.7,3078,True
77,保险服务 Cambodia,insurance,[7],"{""website"": ""https://www.保险服务cambodia.com.kh"", ""email"": ""contact@保险服务cambodia.com.kh"", ""phone"": ""+855273224006"", ""address"": ""Contact for detailed address information""}",4.6,1256,True
78,PT Indo Customs Clearance,customs_clearance,[1],"{""website"": ""https://www.ptindocustomsclearance.com"", ""email"": ""contact@ptindocustomsclearance.com"", ""phone"": ""+87258835007""}",4.3,9457,True
79,翻译服务 Asia Pacific,translation,"[1, 2, 4, 6, 7, 10]","{""website"": ""https://www.regional翻译服务solutions.global"", ""email"": ""info@regional翻译服务solutions.global"", ""phone"": ""+3707940006"", ""address"": ""Contact for detailed address information""}",4.3,339,True
80,International 法律服务,legal,"[2, 4, 5, 6, 7, 8, 9, 10]","{""website"": ""https://www.法律服务asiapacific.global"", ""email"": ""info@法律服务asiapacific.global"", ""phone"": ""+5518453929"", ""address"": ""Contact for detailed address information""}",4.6,4438,True
81,Stripe,payment_gateway,[8],"{""website"": ""https://www.la支付网关solutions.co.la"", ""email"": ""contact@la支付网关solutions.co.la"", ""phone"": ""+856264167618"", ""address"": ""Contact for detailed address information""}",4.6,2186,False
82,International 翻译服务,translation,"[4, 5, 6, 7, 8, 10]","{""website"": ""https://www.worldwide翻译服务.com"", ""email"": ""info@worldwide翻译服务.com"", ""phone"": ""+53365032894"", ""address"": ""Contact for detailed address information""}",4.4,380,True
83,Laos Cargo Solutions,logistics,[8],"{""website"": ""https://www.laexpresslogistics-la.com"", ""email"": ""contact@laexpresslogistics-la.com"", ""phone"": ""+856241274746"", ""address"": ""Contact for detailed address information""}",4.6,1063,True
84,KH 咨询服务 Solutions,consulting,[7],"{""website"": ""https://www.kh咨询服务solutions.com.kh"", ""email"": ""contact@kh咨询服务solutions.com.kh"", ""phone"": ""+855269146113"", ""address"": ""Contact for detailed address information""}",4.4,658,False
85,Vietnam 电商平台,ecommerce_platform,[3],"{""website"": ""https://www.vietnam电商平台.co.vn"", ""email"": ""contact@vietnam电商平台.co.vn"", ""phone"": ""+84214733933"", ""address"": ""Contact for detailed address information""}",4.1,787,False
86,TH Social Media Agency,marketing_agency,[2],"{""website"": ""https://www.southeastasiamarketingagency.co.th"", ""email"": ""contact@southeastasiamarketingagency.co.th"", ""phone"": ""+66276643150"", ""address"": ""Contact for detailed address information""}",4.4,853,False
87,Vietnam 翻译服务,translation,[3],"{""website"": ""https://www.翻译服务vietnam.co.vn"", ""email"": ""contact@翻译服务vietnam.co.vn"", ""phone"": ""+84228029647"", ""address"": ""Contact for detailed address information""}",4.5,2193,True
88,MY 履单服务 Solutions,fulfillment,[4],"{""website"": ""https://www.my履单服务solutions-my.com"", ""email"": ""contact@my履单服务solutions-my.com"", ""phone"": ""+60215700821"", ""address"": ""Contact for detailed address information""}",4.4,503,True
89,Cambodia Marketing Hub,marketing_agency,[7],"{""website"": ""https://www.cambodiamarketinghub.com.kh"", ""email"": ""contact@cambodiamarketinghub.com.kh"", ""phone"": ""+855274021622"", ""address"": ""Contact for detailed address information""}",4.7,3574,False
90,Myanmar Cargo Solutions,logistics,[9],"{""website"": ""https://www.fastdeliverymm.co.mm"", ""email"": ""contact@fastdeliverymm.co.mm"", ""phone"": ""+95262765347"", ""address"": ""Contact for detailed address information""}",4.7,4388,True
91,保险服务 Asia Pacific,insurance,"[6, 7, 8, 10]","{""website"": ""https://www.worldwide保险服务.com"", ""email"": ""info@worldwide保险服务.com"", ""phone"": ""+9731434056"", ""address"": ""Contact for detailed address information""}",4.3,794,True
92,Thailand Insurance,insurance,[2],"{""website"": ""https://www.thailand保险服务-th.com"", ""email"": ""contact@thailand保险服务-th.com"", ""phone"": ""+66285115995"", ""address"": ""Contact for detailed address information""}",4.3,635,True
93,LA 咨询服务 Solutions,consulting,[8],"{""website"": ""https://www.laosconsulting-la.com"", ""email"": ""contact@laosconsulting-la.com"", ""phone"": ""+856211538535"", ""address"": ""Contact for detailed address information""}",5.0,1007,True
94,Thai Customs Broker,customs_clearance,"[2, 3, 4, 6, 7]","{""website"": ""https://www.worldwide清关服务.com"", ""email"": ""info@worldwide清关服务.com"", ""phone"": ""+82528496857"", ""address"": ""Contact for detailed address information""}",4.7,1517,True
95,SG 支付网关 Solutions,payment_gateway,[5],"{""website"": ""https://www.支付网关singapore.co.sg"", ""email"": ""contact@支付网关singapore.co.sg"", ""phone"": ""+65268565963"", ""address"": ""Contact for detailed address information""}",4.3,829,False
96,ASEAN 保险服务,insurance,"[1, 2, 3, 4, 5, 6, 8, 9, 10]","{""website"": ""https://www.international保险服务.global"", ""email"": ""info@international保险服务.global"", ""phone"": ""+29735746040"", ""address"": ""Contact for detailed address information""}",4.4,387,True
97,Laos Import/Export Services,customs_clearance,[8],"{""website"": ""https://www.clearfastla-la.com"", ""email"": ""contact@clearfastla-la.com"", ""phone"": ""+856275545742"", ""address"": ""Contact for detailed address information""}",4.1,512,False
98,Thai Customs Broker,customs_clearance,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","{""website"": ""https://www.ptindocustomsclearance.com"", ""email"": ""info@ptindocustomsclearance.com"", ""phone"": ""+27488910415"", ""address"": ""Contact for detailed address information""}",4.3,771,True
99,Southeast Asia IT服务,it_services,"[4, 6]","{""website"": ""https://www.it服务asiapacific.global"", ""email"": ""info@it服务asiapacific.global"", ""phone"": ""+97871555688"", ""address"": ""Contact for detailed address information""}",4.4,164,True
100,Thailand Consulting,consulting,[2],"{""website"": ""https://www.thailand咨询服务.co.th"", ""email"": ""contact@thailand咨询服务.co.th"", ""phone"": ""+66292505545"", ""address"": ""Contact for detailed address information""}",4.7,1425,True
101,WooCommerce Experts,ecommerce_platform,"[4, 7, 8]","{""website"": ""https://www.电商平台asiapacific.asia"", ""email"": ""info@电商平台asiapacific.asia"", ""phone"": ""+74436164981"", ""address"": ""Contact for detailed address information""}",4.6,2009,True
102,VN Trade Solutions,customs_clearance,[3],"{""website"": ""https://www.thaicustomsbroker.co.vn"", ""email"": ""contact@thaicustomsbroker.co.vn"", ""phone"": ""+84251098600"", ""address"": ""Contact for detailed address information""}",4.4,384,True
103,BN 翻译服务 Solutions,translation,[10],"{""website"": ""https://www.bruneitranslation-bn.com"", ""email"": ""contact@bruneitranslation-bn.com"", ""phone"": ""+673295288807"", ""address"": ""Contact for detailed address information""}",4.5,3370,False
104,VN IT服务 Solutions,it_services,[3],"{""website"": ""https://www.it服务vietnam-vn.com"", ""email"": ""contact@it服务vietnam-vn.com"", ""phone"": ""+84218518384"", ""address"": ""Contact for detailed address information""}",4.4,610,False
105,LA 咨询服务 Solutions,consulting,[8],"{""website"": ""https://www.咨询服务laos.co.la"", ""email"": ""contact@咨询服务laos.co.la"", ""phone"": ""+856216579544"", ""address"": ""Contact for detailed address information""}",5.0,1093,True
106,咨询服务 Cambodia,consulting,[7],"{""website"": ""https://www.cambodiaconsulting.co.kh"", ""email"": ""contact@cambodiaconsulting.co.kh"", ""phone"": ""+855277498777"", ""address"": ""Contact for detailed address information""}",4.5,1304,False
107,Laos Marketing Hub,marketing_agency,[8],"{""website"": ""https://www.digitallaos-la.com"", ""email"": ""contact@digitallaos-la.com"", ""phone"": ""+856292713001"", ""address"": ""Contact for detailed address information""}",4.8,4103,True
108,Malaysia Consulting,consulting,[4],"{""website"": ""https://www.malaysiaconsulting-my.com"", ""email"": ""contact@malaysiaconsulting-my.com"", ""phone"": ""+60215923515"", ""address"": ""Contact for detailed address information""}",5.0,810,True
109,Accountants PH,accounting,[6],"{""website"": ""https://www.philippinesaccountingservices-ph.com"", ""email"": ""contact@philippinesaccountingservices-ph.com"", ""phone"": ""+63215532865"", ""address"": ""Contact for detailed address information""}",4.5,4739,False
110,Vietnam Customs Agent,customs_clearance,"[1, 4, 5, 6, 7, 8, 9]","{""website"": ""https://www.vietnamcustomsagent.com"", ""email"": ""info@vietnamcustomsagent.com"", ""phone"": ""+60790944981"", ""address"": ""Contact for detailed address information""}",4.5,2736,False
111,ASEAN IT服务,it_services,"[2, 4, 6, 8, 10]","{""website"": ""https://www.globalit服务.asia"", ""email"": ""info@globalit服务.asia"", ""phone"": ""+67546836317"", ""address"": ""Contact for detailed address information""}",4.8,4919,True
112,ID Trade Solutions,customs_clearance,[1],"{""website"": ""https://www.thaicustomsbroker-id.com"", ""email"": ""contact@thaicustomsbroker-id.com"", ""phone"": ""+62288522012"", ""address"": ""Contact for detailed address information""}",4.5,2913,True
113,ASEAN 法律服务,legal,"[1, 6, 7, 8, 9]","{""website"": ""https://www.法律服务network.com"", ""email"": ""info@法律服务network.com"", ""phone"": ""+93686531214"", ""address"": ""Contact for detailed address information""}",4.6,4355,True
114,保险服务 Brunei,insurance,[10],"{""website"": ""https://www.保险服务brunei.com.bn"", ""email"": ""contact@保险服务brunei.com.bn"", ""phone"": ""+673282194221"", ""address"": ""Contact for detailed address information""}",4.5,4000,True
115,Stripe,payment_gateway,[9],"{""website"": ""https://www.2c2p.co.mm"", ""email"": ""contact@2c2p.co.mm"", ""phone"": ""+95257431543"", ""address"": ""Contact for detailed address information""}",4.8,3821,True
116,Southeast Asia 保险服务,insurance,"[1, 2, 4, 5, 7, 8, 9, 10]","{""website"": ""https://www.保险服务network.asia"", ""email"": ""info@保险服务network.asia"", ""phone"": ""+31312272134"", ""address"": ""Contact for detailed address information""}",4.4,369,True
117,DHL Global Forwarding,logistics,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","{""website"": ""https://www.dhlglobalforwarding.com"", ""email"": ""contact@dhlglobalforwarding.com"", ""phone"": ""+75655153014""}",4.5,1619,True
118,ASEAN 履单服务,fulfillment,"[1, 2, 3, 4, 7, 10]","{""website"": ""https://www.worldwide履单服务.global"", ""email"": ""info@worldwide履单服务.global"", ""phone"": ""+48466333199"", ""address"": ""Contact for detailed address information""}",4.5,3742,True
