report_id,report_slug,report_title,report_data,parameters,generated_at,valid_until
468,mm-home-living-competitive-analysis-quarterly-110,缅甸家居生活主要玩家分析,"{
  ""summary"": ""根据最新数据分析，MyanmarHome & Living市场在quarterly期间表现平稳。"",
  ""generated_at"": ""2026-01-10 16:19:14"",
  ""data_source"": ""用户调研"",
  ""market_share"": {
    ""Local Platforms"": 17.2,
    ""Shopee"": 6.5,
    ""Tiki"": 35.7,
    ""Amazon"": 7.8
  },
  ""competitive_advantage"": [
    ""用户基数"",
    ""物流网络"",
    ""价格优势""
  ],
  ""key_players"": [
    ""公司A"",
    ""公司C"",
    ""公司D""
  ],
  ""competitive_intensity"": ""低"",
  ""last_updated"": ""2026-01-10"",
  ""confidence_level"": ""高"",
  ""data_points"": 953320
}","{""country_id"": 9, ""category_id"": 4, ""quarter"": ""Q1"", ""year"": 2026, ""report_type"": ""aggregated"", ""data_freshness"": ""weekly""}",2023-01-18 00:18:09,2023-01-25 00:18:09
342,vn-automotive-competitive-analysis-weekly-344,越南汽车用品主要玩家分析,"{
  ""summary"": ""根据最新数据分析，VietnamAutomotive市场在weekly期间表现平稳。"",
  ""generated_at"": ""2026-01-10 16:19:14"",
  ""data_source"": ""用户调研"",
  ""market_share"": {
    ""Shopee"": 8.0,
    ""Lazada"": 42.2,
    ""Amazon"": 40.6,
    ""Local Platforms"": 19.9,
    ""Tiki"": 6.2
  },
  ""competitive_advantage"": [
    ""品牌合作"",
    ""用户基数"",
    ""物流网络""
  ],
  ""key_players"": [
    ""公司B"",
    ""公司A"",
    ""公司D"",
    ""公司E""
  ],
  ""competitive_intensity"": ""高"",
  ""last_updated"": ""2026-01-10"",
  ""confidence_level"": ""低"",
  ""data_points"": 613762
}","{""country_id"": 3, ""category_id"": 7, ""start_date"": ""2026-01-03"", ""end_date"": ""2026-01-10"", ""report_type"": ""aggregated"", ""data_freshness"": ""daily""}",2023-01-18 14:14:05,2023-01-24 14:14:05
39,th-home-living-competitive-analysis-quarterly-261,泰国家居生活主要玩家分析,"{
  ""summary"": ""根据最新数据分析，ThailandHome & Living市场在quarterly期间表现稳定。"",
  ""generated_at"": ""2026-01-10 16:19:14"",
  ""data_source"": ""用户调研"",
  ""market_share"": {
    ""Tokopedia"": 26.7,
    ""Tiki"": 36.0,
    ""Shopee"": 27.7
  },
  ""competitive_advantage"": [
    ""价格优势"",
    ""用户基数"",
    ""品牌合作""
  ],
  ""key_players"": [
    ""公司E"",
    ""公司B"",
    ""公司A""
  ],
  ""competitive_intensity"": ""高"",
  ""last_updated"": ""2026-01-10"",
  ""confidence_level"": ""中"",
  ""data_points"": 903620
}","{""country_id"": 2, ""category_id"": 4, ""quarter"": ""Q1"", ""year"": 2026, ""report_type"": ""aggregated"", ""data_freshness"": ""weekly""}",2023-01-23 11:35:08,2023-02-06 11:35:08
282,my-sports-outdoors-trend-forecast-daily-632,马来西亚运动户外市场未来展望,"{
  ""summary"": ""根据最新数据分析，MalaysiaSports & Outdoors市场在daily期间表现强劲。"",
  ""generated_at"": ""2026-01-10 16:19:14"",
  ""data_source"": ""平台API"",
  ""forecast_period"": ""2027年"",
  ""expected_growth"": 16.8,
  ""key_drivers"": [
    ""消费升级"",
    ""数字化"",
    ""政策支持""
  ],
  ""emerging_segments"": [
    ""社交电商"",
    ""直播购物""
  ],
  ""risk_factors"": [
    ""经济波动"",
    ""政策变化""
  ],
  ""last_updated"": ""2026-01-10"",
  ""confidence_level"": ""中"",
  ""data_points"": 500665
}","{""country_id"": 4, ""category_id"": 6, ""date"": ""2026-01-09"", ""report_type"": ""aggregated"", ""data_freshness"": ""real_time""}",2023-01-24 15:53:19,2023-02-23 15:53:19
495,bn-automotive-logistics-report-yearly-372,文莱物流成本分析报告,"{
  ""summary"": ""根据最新数据分析，BruneiAutomotive市场在yearly期间表现强劲。"",
  ""generated_at"": ""2026-01-10 16:19:14"",
  ""data_source"": ""用户调研"",
  ""average_delivery_time"": 10,
  ""delivery_success_rate"": 90.2,
  ""logistics_cost"": 17.3,
  ""top_providers"": [
    ""Kerry"",
    ""J&T"",
    ""DHL""
  ],
  ""challenges"": [
    ""成本控制"",
    ""最后一公里"",
    ""跨境清关""
  ],
  ""last_updated"": ""2026-01-10"",
  ""confidence_level"": ""高"",
  ""data_points"": 700892
}","{""country_id"": 10, ""category_id"": 7, ""year"": 2026, ""report_type"": ""aggregated"", ""data_freshness"": ""real_time""}",2023-01-27 11:01:48,2023-02-05 11:01:48
179,my-sports-outdoors-platform-performance-weekly-822,周报马来西亚主要电商平台对比,"{
  ""summary"": ""根据最新数据分析，MalaysiaSports & Outdoors市场在weekly期间表现强劲。"",
  ""generated_at"": ""2026-01-10 16:19:14"",
  ""data_source"": ""平台API"",
  ""key_metrics"": {
    ""用户数"": 25.2,
    ""转化率"": 22.7,
    ""客单价"": 2336,
    ""GMV"": 15.9
  },
  ""growth_comparison"": 0.6,
  ""user_engagement"": {
    ""daily_active_users"": 256618,
    ""session_duration"": 5,
    ""retention_rate"": 50.2
  },
  ""last_updated"": ""2026-01-10"",
  ""confidence_level"": ""中"",
  ""data_points"": 475899
}","{""country_id"": 4, ""category_id"": 6, ""start_date"": ""2026-01-03"", ""end_date"": ""2026-01-10"", ""report_type"": ""aggregated"", ""data_freshness"": ""daily""}",2023-02-01 17:13:20,2023-02-09 17:13:20
443,ph-health-wellness-logistics-report-daily-900,菲律宾跨境物流效率报告,"{
  ""summary"": ""根据最新数据分析，PhilippinesHealth & Wellness市场在daily期间表现稳定。"",
  ""generated_at"": ""2026-01-10 16:19:14"",
  ""data_source"": ""爬虫数据"",
  ""average_delivery_time"": 1,
  ""delivery_success_rate"": 85.6,
  ""logistics_cost"": 18.2,
  ""top_providers"": [
    ""J&T"",
    ""Local Courier"",
    ""DHL""
  ],
  ""challenges"": [
    ""最后一公里"",
    ""时效性"",
    ""跨境清关""
  ],
  ""last_updated"": ""2026-01-10"",
  ""confidence_level"": ""中"",
  ""data_points"": 220176
}","{""country_id"": 6, ""category_id"": 8, ""date"": ""2026-01-09"", ""report_type"": ""aggregated"", ""data_freshness"": ""weekly""}",2023-02-02 09:02:07,2023-02-15 09:02:07
340,id-toys-games-trend-forecast-weekly-516,印尼玩具游戏周报趋势预测报告,"{
  ""summary"": ""根据最新数据分析，IndonesiaToys & Games市场在weekly期间表现稳定。"",
  ""generated_at"": ""2026-01-10 16:19:14"",
  ""data_source"": ""平台API"",
  ""forecast_period"": ""2027年"",
  ""expected_growth"": 9.1,
  ""key_drivers"": [
    ""消费升级"",
    ""技术创新"",
    ""政策支持""
  ],
  ""emerging_segments"": [
    ""社交电商"",
    ""直播购物""
  ],
  ""risk_factors"": [
    ""经济波动""
  ],
  ""last_updated"": ""2026-01-10"",
  ""confidence_level"": ""低"",
  ""data_points"": 3839
}","{""country_id"": 1, ""category_id"": 9, ""start_date"": ""2026-01-03"", ""end_date"": ""2026-01-10"", ""report_type"": ""aggregated"", ""data_freshness"": ""weekly""}",2023-02-02 09:02:42,2023-03-04 09:02:42
67,my-beauty-cosmetics-market-analysis-yearly-454,马来西亚美妆护肤市场年报分析报告,"{
  ""summary"": ""根据最新数据分析，MalaysiaBeauty & Cosmetics市场在yearly期间表现稳定。"",
  ""generated_at"": ""2026-01-10 16:19:14"",
  ""data_source"": ""平台API"",
  ""market_size"": 278226472,
  ""growth_rate"": 6.7,
  ""top_brands"": [
    ""Make Over"",
    ""Wardah"",
    ""L'Oreal""
  ],
  ""market_trends"": [
    ""线上购物增长"",
    ""本地化品牌"",
    ""移动端优先""
  ],
  ""consumer_segments"": [
    ""年轻消费者"",
    ""中产阶级"",
    ""城市居民""
  ],
  ""last_updated"": ""2026-01-10"",
  ""confidence_level"": ""高"",
  ""data_points"": 52106
}","{""country_id"": 4, ""category_id"": 1, ""year"": 2026, ""report_type"": ""aggregated"", ""data_freshness"": ""weekly""}",2023-02-04 15:21:02,2023-02-20 15:21:02
477,th-fashion-price-analysis-monthly-585,月报时尚服饰价格竞争分析,"{
  ""summary"": ""根据最新数据分析，ThailandFashion市场在monthly期间表现良好。"",
  ""generated_at"": ""2026-01-10 16:19:14"",
  ""data_source"": ""平台API"",
  ""price_range"": {
    ""low"": 122,
    ""median"": 771,
    ""high"": 5865
  },
  ""price_trend"": ""波动"",
  ""discount_frequency"": 14.2,
  ""competitive_pricing"": [
    ""捆绑销售"",
    ""会员优惠""
  ],
  ""last_updated"": ""2026-01-10"",
  ""confidence_level"": ""中"",
  ""data_points"": 838076
}","{""country_id"": 2, ""category_id"": 2, ""month"": ""2026-01"", ""report_type"": ""aggregated"", ""data_freshness"": ""daily""}",2023-02-07 05:28:18,2023-02-10 05:28:18
354,mm-health-wellness-trend-forecast-quarterly-772,缅甸健康保健市场未来展望,"{
  ""summary"": ""根据最新数据分析，MyanmarHealth & Wellness市场在quarterly期间表现良好。"",
  ""generated_at"": ""2026-01-10 16:19:14"",
  ""data_source"": ""爬虫数据"",
  ""forecast_period"": ""2027年"",
  ""expected_growth"": 19.5,
  ""key_drivers"": [
    ""消费升级"",
    ""技术创新"",
    ""数字化""
  ],
  ""emerging_segments"": [
    ""社交电商"",
    ""直播购物"",
    ""跨境电商"",
    ""订阅服务""
  ],
  ""risk_factors"": [
    ""经济波动"",
    ""政策变化""
  ],
  ""last_updated"": ""2026-01-10"",
  ""confidence_level"": ""中"",
  ""data_points"": 407867
}","{""country_id"": 9, ""category_id"": 8, ""quarter"": ""Q1"", ""year"": 2026, ""report_type"": ""aggregated"", ""data_freshness"": ""real_time""}",2023-02-07 09:43:00,2023-02-14 09:43:00
197,la-electronics-competitive-analysis-monthly-201,老挝电子产品主要玩家分析,"{
  ""summary"": ""根据最新数据分析，LaosElectronics市场在monthly期间表现良好。"",
  ""generated_at"": ""2026-01-10 16:19:14"",
  ""data_source"": ""爬虫数据"",
  ""market_share"": {
    ""Tokopedia"": 18.2,
    ""Tiki"": 12.4,
    ""Lazada"": 32.1,
    ""Shopee"": 23.9
  },
  ""competitive_advantage"": [
    ""品牌合作"",
    ""价格优势"",
    ""用户基数""
  ],
  ""key_players"": [
    ""公司B"",
    ""公司E"",
    ""公司C""
  ],
  ""competitive_intensity"": ""低"",
  ""last_updated"": ""2026-01-10"",
  ""confidence_level"": ""中"",
  ""data_points"": 187664
}","{""country_id"": 8, ""category_id"": 3, ""month"": ""2026-01"", ""report_type"": ""aggregated"", ""data_freshness"": ""daily""}",2023-02-08 05:52:20,2023-02-15 05:52:20
277,id-books-stationery-competitive-analysis-monthly-468,印尼电商平台竞争分析报告,"{
  ""summary"": ""根据最新数据分析，IndonesiaBooks & Stationery市场在monthly期间表现良好。"",
  ""generated_at"": ""2026-01-10 16:19:14"",
  ""data_source"": ""第三方数据"",
  ""market_share"": {
    ""Amazon"": 16.8,
    ""Tokopedia"": 36.2,
    ""Local Platforms"": 42.5,
    ""Lazada"": 35.8,
    ""Tiki"": 44.7
  },
  ""competitive_advantage"": [
    ""物流网络"",
    ""价格优势"",
    ""品牌合作""
  ],
  ""key_players"": [
    ""公司E"",
    ""公司D"",
    ""公司C"",
    ""公司A""
  ],
  ""competitive_intensity"": ""中"",
  ""last_updated"": ""2026-01-10"",
  ""confidence_level"": ""中"",
  ""data_points"": 579209
}","{""country_id"": 1, ""category_id"": 10, ""month"": ""2026-01"", ""report_type"": ""aggregated"", ""data_freshness"": ""daily""}",2023-02-09 05:13:11,2023-02-18 05:13:11
49,vn-home-living-platform-performance-monthly-277,月报越南主要电商平台对比,"{
  ""summary"": ""根据最新数据分析，VietnamHome & Living市场在monthly期间表现稳定。"",
  ""generated_at"": ""2026-01-10 16:19:14"",
  ""data_source"": ""平台API"",
  ""key_metrics"": {
    ""订单量"": 23.7,
    ""GMV"": 30.2,
    ""客单价"": 1415,
    ""用户数"": 24.8,
    ""转化率"": 35.9
  },
  ""growth_comparison"": 13.0,
  ""user_engagement"": {
    ""daily_active_users"": 674900,
    ""session_duration"": 9,
    ""retention_rate"": 73.2
  },
  ""last_updated"": ""2026-01-10"",
  ""confidence_level"": ""中"",
  ""data_points"": 508369
}","{""country_id"": 3, ""category_id"": 4, ""month"": ""2026-01"", ""report_type"": ""aggregated"", ""data_freshness"": ""real_time""}",2023-02-09 13:05:41,2023-02-15 13:05:41
410,sg-home-living-platform-performance-daily-735,新加坡平台市场份额分析,"{
  ""summary"": ""根据最新数据分析，SingaporeHome & Living市场在daily期间表现强劲。"",
  ""generated_at"": ""2026-01-10 16:19:14"",
  ""data_source"": ""第三方数据"",
  ""key_metrics"": {
    ""转化率"": 28.7,
    ""用户数"": 41.7,
    ""客单价"": 4880,
    ""订单量"": 18.7,
    ""GMV"": 33.9
  },
  ""growth_comparison"": 31.5,
  ""user_engagement"": {
    ""daily_active_users"": 561928,
    ""session_duration"": 25,
    ""retention_rate"": 38.5
  },
  ""last_updated"": ""2026-01-10"",
  ""confidence_level"": ""中"",
  ""data_points"": 458908
}","{""country_id"": 5, ""category_id"": 4, ""date"": ""2026-01-09"", ""report_type"": ""aggregated"", ""data_freshness"": ""daily""}",2023-02-10 17:29:01,2023-03-13 17:29:01
278,la-books-stationery-trend-forecast-weekly-976,老挝图书文具市场未来展望,"{
  ""summary"": ""根据最新数据分析，LaosBooks & Stationery市场在weekly期间表现良好。"",
  ""generated_at"": ""2026-01-10 16:19:14"",
  ""data_source"": ""第三方数据"",
  ""forecast_period"": ""2027年"",
  ""expected_growth"": 10.1,
  ""key_drivers"": [
    ""数字化"",
    ""消费升级"",
    ""技术创新""
  ],
  ""emerging_segments"": [
    ""社交电商"",
    ""直播购物"",
    ""跨境电商""
  ],
  ""risk_factors"": [
    ""经济波动""
  ],
  ""last_updated"": ""2026-01-10"",
  ""confidence_level"": ""中"",
  ""data_points"": 888524
}","{""country_id"": 8, ""category_id"": 10, ""start_date"": ""2026-01-03"", ""end_date"": ""2026-01-10"", ""report_type"": ""aggregated"", ""data_freshness"": ""weekly""}",2023-02-14 09:23:54,2023-03-17 09:23:54
442,id-electronics-competitive-analysis-monthly-961,印尼电子产品竞争格局分析,"{
  ""summary"": ""根据最新数据分析，IndonesiaElectronics市场在monthly期间表现平稳。"",
  ""generated_at"": ""2026-01-10 16:19:14"",
  ""data_source"": ""第三方数据"",
  ""market_share"": {
    ""Tiki"": 17.4,
    ""Shopee"": 11.3,
    ""Amazon"": 43.5,
    ""Tokopedia"": 24.5,
    ""Local Platforms"": 19.2
  },
  ""competitive_advantage"": [
    ""物流网络"",
    ""价格优势"",
    ""品牌合作""
  ],
  ""key_players"": [
    ""公司E"",
    ""公司C"",
    ""公司B"",
    ""公司D"",
    ""公司A""
  ],
  ""competitive_intensity"": ""中"",
  ""last_updated"": ""2026-01-10"",
  ""confidence_level"": ""高"",
  ""data_points"": 865336
}","{""country_id"": 1, ""category_id"": 3, ""month"": ""2026-01"", ""report_type"": ""aggregated"", ""data_freshness"": ""weekly""}",2023-02-15 12:01:00,2023-03-01 12:01:00
17,la-books-stationery-consumer-insights-yearly-881,老挝图书文具消费者行为分析,"{
  ""summary"": ""根据最新数据分析，LaosBooks & Stationery市场在yearly期间表现稳定。"",
  ""generated_at"": ""2026-01-10 16:19:14"",
  ""data_source"": ""平台API"",
  ""average_order_value"": 461,
  ""purchase_frequency"": 5.9,
  ""top_preferences"": [
    ""品牌忠诚"",
    ""便捷性"",
    ""价格敏感""
  ],
  ""demographics"": {
    ""age_groups"": [
      ""18-25"",
      ""26-35"",
      ""36-45"",
      ""46+""
    ],
    ""gender_ratio"": {
      ""male"": 36,
      ""female"": 38
    },
    ""urban_rural"": ""乡村增长""
  },
  ""last_updated"": ""2026-01-10"",
  ""confidence_level"": ""中"",
  ""data_points"": 891091
}","{""country_id"": 8, ""category_id"": 10, ""year"": 2026, ""report_type"": ""aggregated"", ""data_freshness"": ""weekly""}",2023-02-16 00:06:58,2023-02-25 00:06:58
376,mm-books-stationery-trend-forecast-daily-285,缅甸图书文具市场未来展望,"{
  ""summary"": ""根据最新数据分析，MyanmarBooks & Stationery市场在daily期间表现强劲。"",
  ""generated_at"": ""2026-01-10 16:19:14"",
  ""data_source"": ""平台API"",
  ""forecast_period"": ""2027年"",
  ""expected_growth"": 19.1,
  ""key_drivers"": [
    ""消费升级"",
    ""数字化"",
    ""政策支持""
  ],
  ""emerging_segments"": [
    ""社交电商"",
    ""直播购物"",
    ""跨境电商""
  ],
  ""risk_factors"": [
    ""经济波动""
  ],
  ""last_updated"": ""2026-01-10"",
  ""confidence_level"": ""高"",
  ""data_points"": 842567
}","{""country_id"": 9, ""category_id"": 10, ""date"": ""2026-01-09"", ""report_type"": ""aggregated"", ""data_freshness"": ""real_time""}",2023-02-17 09:44:30,2023-03-18 09:44:30
475,sg-books-stationery-logistics-report-weekly-257,新加坡物流成本分析报告,"{
  ""summary"": ""根据最新数据分析，SingaporeBooks & Stationery市场在weekly期间表现良好。"",
  ""generated_at"": ""2026-01-10 16:19:14"",
  ""data_source"": ""用户调研"",
  ""average_delivery_time"": 10,
  ""delivery_success_rate"": 87.1,
  ""logistics_cost"": 5.4,
  ""top_providers"": [
    ""Kerry"",
    ""FedEx"",
    ""Local Courier""
  ],
  ""challenges"": [
    ""最后一公里"",
    ""成本控制"",
    ""时效性""
  ],
  ""last_updated"": ""2026-01-10"",
  ""confidence_level"": ""低"",
  ""data_points"": 323468
}","{""country_id"": 5, ""category_id"": 10, ""start_date"": ""2026-01-03"", ""end_date"": ""2026-01-10"", ""report_type"": ""aggregated"", ""data_freshness"": ""weekly""}",2023-02-23 11:16:32,2023-03-10 11:16:32
230,la-toys-games-consumer-insights-weekly-889,老挝消费者偏好研究报告,"{
  ""summary"": ""根据最新数据分析，LaosToys & Games市场在weekly期间表现良好。"",
  ""generated_at"": ""2026-01-10 16:19:14"",
  ""data_source"": ""第三方数据"",
  ""average_order_value"": 633,
  ""purchase_frequency"": 5.0,
  ""top_preferences"": [
    ""价格敏感"",
    ""便捷性"",
    ""品牌忠诚""
  ],
  ""demographics"": {
    ""age_groups"": [
      ""18-25"",
      ""26-35""
    ],
    ""gender_ratio"": {
      ""male"": 61,
      ""female"": 68
    },
    ""urban_rural"": ""乡村增长""
  },
  ""last_updated"": ""2026-01-10"",
  ""confidence_level"": ""高"",
  ""data_points"": 17666
}","{""country_id"": 8, ""category_id"": 9, ""start_date"": ""2026-01-03"", ""end_date"": ""2026-01-10"", ""report_type"": ""aggregated"", ""data_freshness"": ""daily""}",2023-03-01 00:20:05,2023-03-10 00:20:05
