indicator_id,country_id,year,quarter,indicator_type,indicator_value,unit,data_source,last_updated
101,1,2014,,internet_penetration,15.3,percent,ITU,2015-06-19
102,1,2023,3,inflation,5.1,percent,World Bank,2023-11-25
103,6,2009,,gdp,176100000000.0,USD,ADB,2010-04-11
104,4,2011,,internet_penetration,81.0,percent,Internet World Stats,2012-04-29
105,10,2015,,population,434909,people,National Statistical Office,2016-04-29
106,9,2024,1,export_growth,0.4,percent,UNCTAD,2024-05-01
107,5,2022,,ecommerce_gmv,4800000000.0,USD,Bain & Company,2023-06-05
108,1,2022,2,inflation,6.1,percent,World Bank,2022-07-19
109,10,2011,,gdp,15500000000.0,USD,ADB,2012-04-26
110,2,2009,,ecommerce_gmv,1100000000.0,USD,e-Conomy SEA,2010-06-16
111,4,2024,3,inflation,6.1,percent,National Bank,2024-11-27
112,4,2025,,population,36700000.0,people,National Statistical Office,2026-04-16
113,5,2023,4,gdp_growth,8.0,percent,IMF,2024-01-26
114,2,2024,,gdp,472700000000.0,USD,World Bank,2025-06-04
115,9,2018,,ecommerce_gmv,21200000.0,USD,e-Conomy SEA,2019-05-16
116,8,2020,4,fdi_inflow,192800000.0,USD,World Bank,2021-02-21
117,2,2025,,gdp_growth,4.1,percent,World Bank,2026-04-10
118,10,2015,,ecommerce_gmv,142900000.0,USD,e-Conomy SEA,2016-05-01
119,10,2020,,gdp,25500000000.0,USD,ADB,2021-05-28
120,1,2022,4,import_growth,-8.1,percent,World Bank,2023-03-05
121,7,2016,,ecommerce_gmv,56500000.0,USD,Statista,2017-06-18
122,6,2024,,ecommerce_gmv,8000000000.0,USD,Bain & Company,2025-05-23
123,1,2024,2,inflation,3.1,percent,National Bank,2024-09-11
124,5,2022,3,retail_sales_growth,15.7,percent,Statista,2022-10-22
125,2,2024,1,fdi_inflow,7800000000.0,USD,OECD,2024-05-05
126,4,2022,4,inflation,5.5,percent,IMF,2023-03-11
127,10,2024,2,unemployment,3.8,percent,World Bank,2024-08-22
128,7,2012,,gdp_growth,7.9,percent,IMF,2013-04-11
129,6,2015,,ecommerce_gmv,535400000.0,USD,Google-Temasek,2016-04-25
130,1,2023,3,import_growth,16.9,percent,World Bank,2023-11-20
131,3,2015,,gdp_per_capita,1313,USD,ADB,2016-03-30
132,5,2024,3,unemployment,9.1,percent,National Statistics,2024-11-26
133,5,2025,1,import_growth,8.2,percent,WTO,2025-05-24
134,5,2025,3,retail_sales_growth,5.0,percent,Euromonitor,2025-11-27
135,5,2021,4,consumer_confidence,111,index,National Statistics,2022-03-01
136,1,2015,,gdp_per_capita,3236,USD,World Bank,2016-06-20
137,8,2025,2,export_growth,-7.2,percent,WTO,2025-08-18
138,8,2020,,gdp_growth,5.2,percent,IMF,2021-05-11
139,6,2010,,ecommerce_gmv,286500000.0,USD,Bain & Company,2011-04-24
140,7,2020,3,consumer_confidence,60,index,Mastercard,2020-10-18
141,9,2014,,gdp_growth,6.7,percent,ADB,2015-06-28
142,10,2017,,ecommerce_gmv,136000000.0,USD,Statista,2018-06-04
143,3,2020,4,import_growth,5.5,percent,World Bank,2021-02-14
144,10,2023,,internet_penetration,225.7,percent,Internet World Stats,2024-06-04
145,6,2024,3,export_growth,12.1,percent,UNCTAD,2024-10-25
146,10,2014,,internet_penetration,97.9,percent,ITU,2015-04-28
147,1,2011,,population,238300000.0,people,National Statistical Office,2012-04-07
148,3,2023,3,import_growth,15.2,percent,World Bank,2023-11-15
149,4,2017,,internet_penetration,184.4,percent,Internet World Stats,2018-04-08
150,4,2023,2,consumer_confidence,104,index,National Statistics,2023-08-16
151,2,2023,3,import_growth,-0.9,percent,UNCTAD,2023-11-10
152,5,2008,,population,4800000.0,people,World Bank,2009-05-13
153,3,2020,2,unemployment,4.5,percent,ILO,2020-07-23
154,1,2023,2,fdi_inflow,43200000000.0,USD,World Bank,2023-08-09
155,9,2025,3,gdp_growth,3.1,percent,ADB,2025-11-13
156,4,2022,,ecommerce_gmv,5400000000.0,USD,Statista,2023-06-27
157,7,2008,,gdp_per_capita,714,USD,World Bank,2009-05-03
158,2,2020,1,consumer_confidence,98,index,Nielsen,2020-05-07
159,8,2009,,gdp_growth,3.9,percent,ADB,2010-05-24
160,2,2025,2,unemployment,2.2,percent,ILO,2025-07-18
161,5,2013,,internet_penetration,100.2,percent,ITU,2014-05-24
162,8,2010,,gdp_per_capita,926,USD,ADB,2011-05-23
163,10,2010,,internet_penetration,53.5,percent,ITU,2011-04-22
164,1,2021,2,retail_sales_growth,2.5,percent,National Statistics,2021-08-29
165,8,2021,1,import_growth,9.5,percent,WTO,2021-04-14
166,2,2013,,population,72100000.0,people,UN Population Division,2014-06-11
167,10,2020,1,retail_sales_growth,8.8,percent,Euromonitor,2020-04-25
168,5,2022,2,consumer_confidence,96,index,Mastercard,2022-08-18
169,10,2023,3,fdi_inflow,770400000.0,USD,OECD,2023-10-27
170,5,2024,2,fdi_inflow,9600000000.0,USD,World Bank,2024-08-30
171,8,2021,3,retail_sales_growth,8.4,percent,Statista,2021-11-22
172,7,2024,1,inflation,5.1,percent,World Bank,2024-05-05
173,4,2023,,gdp_per_capita,19321,USD,IMF,2024-05-12
174,1,2022,,ecommerce_gmv,11500000000.0,USD,Statista,2023-05-11
175,10,2018,,ecommerce_gmv,276300000.0,USD,e-Conomy SEA,2019-05-09
176,3,2022,,gdp_per_capita,2344,USD,ADB,2023-05-15
177,5,2024,1,export_growth,4.1,percent,UNCTAD,2024-05-17
178,5,2017,,internet_penetration,192.4,percent,Internet World Stats,2018-05-29
179,10,2017,,internet_penetration,93.5,percent,GSMA,2018-04-24
180,2,2024,,gdp_per_capita,6708,USD,IMF,2025-06-26
181,8,2023,,gdp,8700000000.0,USD,ADB,2024-06-10
182,1,2011,,gdp_growth,4.9,percent,ADB,2012-04-29
183,5,2011,,population,5100000.0,people,National Statistical Office,2012-05-19
184,3,2021,2,retail_sales_growth,13.1,percent,ASEANstats,2021-09-09
185,2,2014,,gdp,382800000000.0,USD,IMF,2015-06-12
186,6,2020,3,consumer_confidence,47,index,Mastercard,2020-10-30
187,10,2012,,gdp_growth,6.4,percent,ADB,2013-06-14
188,10,2022,2,consumer_confidence,133,index,National Statistics,2022-09-12
189,6,2025,2,fdi_inflow,18500000000.0,USD,OECD,2025-08-20
190,7,2017,,ecommerce_gmv,116200000.0,USD,Bain & Company,2018-04-10
191,5,2021,,internet_penetration,225.5,percent,Internet World Stats,2022-06-27
192,2,2015,,gdp_growth,5.9,percent,World Bank,2016-05-14
193,7,2010,,population,14600000.0,people,World Bank,2011-04-07
194,1,2020,4,gdp_growth,2.5,percent,IMF,2021-03-15
195,1,2023,2,unemployment,4.8,percent,National Statistics,2023-08-10
196,10,2021,,gdp_per_capita,59658,USD,World Bank,2022-04-25
197,8,2020,,ecommerce_gmv,42500000.0,USD,Google-Temasek,2021-05-18
198,7,2021,,ecommerce_gmv,106300000.0,USD,Statista,2022-04-28
199,5,2022,,gdp,281100000000.0,USD,National Statistics,2023-05-29
200,10,2025,2,consumer_confidence,125,index,National Statistics,2025-08-22
201,10,2015,,gdp_per_capita,45346,USD,IMF,2016-06-10
202,4,2009,,internet_penetration,59.1,percent,GSMA,2010-06-05
203,2,2012,,gdp_per_capita,4695,USD,IMF,2013-06-20
204,5,2021,1,export_growth,13.9,percent,World Bank,2021-06-01
205,5,2023,3,unemployment,3.6,percent,ILO,2023-10-30
206,3,2024,3,fdi_inflow,3300000000.0,USD,ASEAN Secretariat,2024-11-27
207,6,2022,2,retail_sales_growth,3.3,percent,ASEANstats,2022-08-09
208,4,2022,2,import_growth,13.0,percent,UNCTAD,2022-08-18
209,5,2021,2,export_growth,17.2,percent,UNCTAD,2021-07-22
210,5,2025,4,gdp_growth,7.4,percent,IMF,2026-03-05
211,8,2024,3,unemployment,4.2,percent,National Statistics,2024-11-14
212,2,2021,4,export_growth,4.7,percent,World Bank,2022-03-11
213,2,2021,,population,89900000.0,people,World Bank,2022-06-25
214,8,2022,3,gdp_growth,8.6,percent,IMF,2022-12-13
215,5,2025,1,fdi_inflow,20300000000.0,USD,ASEAN Secretariat,2025-05-15
216,5,2010,,gdp_growth,3.7,percent,IMF,2011-05-13
217,7,2024,1,consumer_confidence,80,index,Nielsen,2024-05-01
218,8,2015,,internet_penetration,4.6,percent,GSMA,2016-03-30
219,3,2011,,gdp_per_capita,1220,USD,World Bank,2012-05-20
220,4,2025,2,fdi_inflow,19100000000.0,USD,ASEAN Secretariat,2025-08-16
221,5,2021,,gdp_per_capita,49026,USD,ADB,2022-05-09
222,4,2008,,gdp_per_capita,8148,USD,World Bank,2009-06-17
223,6,2013,,gdp,223000000000.0,USD,IMF,2014-05-11
224,9,2020,,population,66000000.0,people,World Bank,2021-04-04
225,10,2023,2,unemployment,6.1,percent,World Bank,2023-07-19
226,8,2021,2,import_growth,-10.2,percent,World Bank,2021-08-28
227,8,2010,,gdp_growth,6.2,percent,ADB,2011-05-14
228,6,2022,2,gdp_growth,6.4,percent,World Bank,2022-07-28
229,5,2017,,gdp_growth,7.0,percent,IMF,2018-04-10
230,6,2015,,gdp,258000000000.0,USD,ADB,2016-05-21
231,6,2024,4,fdi_inflow,10500000000.0,USD,World Bank,2025-02-16
232,2,2021,4,gdp_growth,3.1,percent,IMF,2022-01-30
233,2,2023,2,unemployment,4.1,percent,World Bank,2023-08-13
234,5,2024,3,import_growth,16.4,percent,UNCTAD,2024-12-07
235,3,2020,2,export_growth,4.8,percent,World Bank,2020-09-07
236,8,2022,,ecommerce_gmv,60700000.0,USD,Statista,2023-06-07
237,2,2024,1,unemployment,5.4,percent,National Statistics,2024-06-10
238,8,2014,,gdp,6900000000.0,USD,World Bank,2015-04-21
239,5,2023,,gdp_per_capita,87857,USD,IMF,2024-06-04
240,10,2024,2,retail_sales_growth,15.5,percent,National Statistics,2024-08-28
241,8,2025,3,inflation,3.2,percent,National Bank,2025-11-20
242,4,2025,2,inflation,5.9,percent,World Bank,2025-08-17
243,4,2024,1,fdi_inflow,21700000000.0,USD,ASEAN Secretariat,2024-05-02
244,7,2025,3,unemployment,3.5,percent,National Statistics,2025-11-27
245,8,2022,2,import_growth,4.0,percent,WTO,2022-08-29
246,3,2020,1,consumer_confidence,70,index,Conference Board,2020-05-12
247,1,2025,1,export_growth,10.4,percent,WTO,2025-05-22
248,2,2021,,gdp,575900000000.0,USD,IMF,2022-04-12
249,1,2025,,internet_penetration,56.8,percent,Internet World Stats,2026-05-16
250,9,2018,,gdp,49100000000.0,USD,IMF,2019-04-19
251,7,2022,3,fdi_inflow,407400000.0,USD,World Bank,2022-11-11
252,1,2022,4,unemployment,4.7,percent,World Bank,2023-02-23
253,7,2023,2,unemployment,7.9,percent,ILO,2023-08-27
254,3,2022,2,export_growth,23.2,percent,UNCTAD,2022-07-25
255,2,2019,,gdp_growth,4.5,percent,IMF,2020-06-28
256,10,2009,,ecommerce_gmv,35500000.0,USD,e-Conomy SEA,2010-05-12
257,5,2015,,internet_penetration,174.3,percent,ITU,2016-04-05
258,8,2008,,gdp,5400000000.0,USD,ADB,2009-05-20
259,1,2020,1,gdp_growth,4.1,percent,IMF,2020-06-05
260,4,2017,,ecommerce_gmv,3400000000.0,USD,Statista,2018-05-23
261,10,2024,3,fdi_inflow,796400000.0,USD,World Bank,2024-10-21
262,7,2022,4,consumer_confidence,81,index,Conference Board,2023-03-14
263,6,2017,,gdp_per_capita,2359,USD,IMF,2018-05-19
264,10,2024,1,consumer_confidence,128,index,Conference Board,2024-05-07
265,10,2021,4,retail_sales_growth,1.7,percent,National Statistics,2022-01-27
266,3,2014,,internet_penetration,55.1,percent,ITU,2015-05-21
267,6,2022,3,retail_sales_growth,7.1,percent,Euromonitor,2022-10-26
268,5,2009,,gdp,189800000000.0,USD,National Statistics,2010-06-24
269,6,2008,,ecommerce_gmv,200000000.0,USD,Google-Temasek,2009-06-09
270,9,2022,4,retail_sales_growth,5.5,percent,Euromonitor,2023-01-26
271,4,2024,,ecommerce_gmv,6600000000.0,USD,Google-Temasek,2025-04-23
272,6,2021,2,fdi_inflow,6900000000.0,USD,ASEAN Secretariat,2021-09-08
273,3,2023,3,fdi_inflow,2000000000.0,USD,UNCTAD,2023-10-29
274,6,2022,2,inflation,4.4,percent,World Bank,2022-08-22
275,4,2015,,ecommerce_gmv,2700000000.0,USD,Google-Temasek,2016-05-11
276,4,2009,,gdp_per_capita,8353,USD,IMF,2010-06-23
277,3,2022,,population,104800000.0,people,National Statistical Office,2023-05-17
278,5,2025,2,import_growth,6.3,percent,UNCTAD,2025-08-21
279,9,2017,,ecommerce_gmv,9400000.0,USD,Bain & Company,2018-04-24
280,3,2025,4,unemployment,2.2,percent,World Bank,2026-03-03
281,2,2014,,population,72300000.0,people,National Statistical Office,2015-05-31
282,8,2010,,gdp,6000000000.0,USD,National Statistics,2011-05-27
283,9,2023,,ecommerce_gmv,22500000.0,USD,Google-Temasek,2024-04-24
284,9,2022,4,import_growth,0.3,percent,WTO,2023-02-18
285,4,2020,,ecommerce_gmv,8700000000.0,USD,Google-Temasek,2021-04-15
286,4,2017,,gdp_growth,4.6,percent,IMF,2018-05-29
287,2,2011,,ecommerce_gmv,1400000000.0,USD,Statista,2012-04-05
288,2,2010,,gdp,301500000000.0,USD,World Bank,2011-06-04
289,7,2025,,gdp_per_capita,1006,USD,IMF,2026-04-14
290,5,2024,2,unemployment,4.4,percent,National Statistics,2024-08-14
291,10,2017,,gdp_per_capita,44143,USD,IMF,2018-05-20
292,7,2013,,gdp_growth,8.3,percent,ADB,2014-04-12
293,10,2024,3,inflation,3.2,percent,National Bank,2024-11-29
294,3,2013,,internet_penetration,40.4,percent,ITU,2014-06-11
295,5,2016,,population,5600000.0,people,UN Population Division,2017-04-14
296,1,2025,3,inflation,2.8,percent,National Bank,2025-12-02
297,5,2022,1,gdp_growth,8.8,percent,World Bank,2022-05-20
298,8,2014,,gdp_per_capita,1216,USD,World Bank,2015-04-19
299,10,2023,,gdp_per_capita,78515,USD,World Bank,2024-06-22
300,6,2023,2,consumer_confidence,140,index,Conference Board,2023-09-11
301,6,2020,2,inflation,2.5,percent,National Bank,2020-09-08
302,10,2024,2,import_growth,14.2,percent,UNCTAD,2024-07-29
303,9,2025,,gdp,71800000000.0,USD,ADB,2026-05-08
304,1,2014,,gdp,699700000000.0,USD,National Statistics,2015-05-10
305,7,2022,,ecommerce_gmv,550700000.0,USD,Google-Temasek,2023-06-14
306,4,2014,,gdp,282000000000.0,USD,World Bank,2015-04-09
307,7,2023,1,fdi_inflow,433200000.0,USD,ASEAN Secretariat,2023-05-25
308,7,2022,4,retail_sales_growth,10.6,percent,National Statistics,2023-02-23
309,7,2020,4,retail_sales_growth,7.2,percent,ASEANstats,2021-03-06
310,9,2022,1,fdi_inflow,2400000000.0,USD,ASEAN Secretariat,2022-04-15
311,5,2024,,gdp_per_capita,75584,USD,IMF,2025-05-15
312,10,2025,,ecommerce_gmv,2600000000.0,USD,Statista,2026-06-15
313,6,2012,,gdp,214200000000.0,USD,ADB,2013-06-11
314,3,2022,3,inflation,4.0,percent,IMF,2022-10-20
315,10,2024,1,gdp_growth,6.1,percent,IMF,2024-05-06
316,2,2016,,internet_penetration,57.7,percent,ITU,2017-05-21
317,1,2024,2,gdp_growth,8.8,percent,ADB,2024-09-02
318,10,2012,,population,427467,people,UN Population Division,2013-06-24
319,10,2020,1,unemployment,3.4,percent,National Statistics,2020-05-01
320,5,2022,,gdp_growth,4.8,percent,IMF,2023-06-15
321,3,2018,,ecommerce_gmv,2100000000.0,USD,e-Conomy SEA,2019-05-27
322,8,2025,2,fdi_inflow,503900000.0,USD,OECD,2025-08-31
323,10,2009,,gdp_growth,4.7,percent,World Bank,2010-04-07
324,6,2025,2,gdp_growth,5.1,percent,IMF,2025-08-26
325,8,2023,3,unemployment,3.9,percent,World Bank,2023-11-27
326,2,2008,,gdp_growth,5.1,percent,World Bank,2009-04-06
327,5,2021,2,import_growth,-5.4,percent,UNCTAD,2021-09-09
328,2,2024,2,consumer_confidence,134,index,Conference Board,2024-08-22
329,4,2021,,population,33000000.0,people,UN Population Division,2022-06-01
330,5,2016,,gdp_per_capita,48990,USD,ADB,2017-04-02
331,5,2021,2,inflation,4.6,percent,IMF,2021-07-16
332,5,2020,4,export_growth,-7.5,percent,WTO,2021-01-27
333,6,2025,3,gdp_growth,4.2,percent,ADB,2025-11-26
334,10,2021,,population,464574,people,UN Population Division,2022-04-20
335,8,2017,,gdp_per_capita,1336,USD,World Bank,2018-05-30
336,6,2013,,internet_penetration,24.0,percent,ITU,2014-05-20
337,5,2021,2,gdp_growth,7.3,percent,World Bank,2021-09-03
338,1,2025,3,consumer_confidence,121,index,Mastercard,2025-12-11
339,9,2012,,internet_penetration,1.3,percent,WeAreSocial,2013-06-20
340,8,2022,4,consumer_confidence,114,index,National Statistics,2023-03-14
341,1,2019,,ecommerce_gmv,6500000000.0,USD,e-Conomy SEA,2020-06-11
342,1,2021,1,consumer_confidence,134,index,Mastercard,2021-04-21
343,2,2010,,population,68400000.0,people,National Statistical Office,2011-05-12
344,6,2022,3,consumer_confidence,103,index,National Statistics,2022-11-28
345,3,2020,2,gdp_growth,5.4,percent,ADB,2020-08-12
346,6,2022,2,consumer_confidence,139,index,Conference Board,2022-08-10
347,7,2022,1,fdi_inflow,299100000.0,USD,OECD,2022-05-28
348,8,2022,2,gdp_growth,4.2,percent,IMF,2022-07-24
349,4,2022,,internet_penetration,111.3,percent,Internet World Stats,2023-05-25
350,7,2020,,gdp_growth,5.6,percent,World Bank,2021-06-04
351,10,2022,2,unemployment,6.1,percent,National Statistics,2022-07-19
352,2,2019,,internet_penetration,81.1,percent,ITU,2020-04-23
353,7,2022,,population,18300000.0,people,UN Population Division,2023-04-07
354,3,2014,,population,96300000.0,people,National Statistical Office,2015-04-23
355,4,2011,,population,28100000.0,people,National Statistical Office,2012-05-19
356,6,2020,3,unemployment,3.1,percent,ILO,2020-11-27
357,10,2024,3,consumer_confidence,96,index,Conference Board,2024-12-08
358,8,2018,,gdp_per_capita,1202,USD,IMF,2019-03-31
359,3,2021,3,consumer_confidence,125,index,Nielsen,2021-12-11
360,6,2023,4,inflation,2.1,percent,National Bank,2024-02-13
361,2,2021,4,unemployment,3.3,percent,National Statistics,2022-02-07
362,9,2020,,ecommerce_gmv,17500000.0,USD,Statista,2021-04-17
363,3,2022,1,fdi_inflow,10800000000.0,USD,UNCTAD,2022-04-25
364,7,2014,,gdp_growth,3.9,percent,World Bank,2015-04-29
365,4,2017,,gdp,375400000000.0,USD,National Statistics,2018-05-11
366,5,2020,4,retail_sales_growth,9.5,percent,National Statistics,2021-02-05
367,5,2023,,internet_penetration,260.7,percent,Internet World Stats,2024-05-14
368,7,2020,1,consumer_confidence,57,index,Conference Board,2020-05-07
369,7,2017,,internet_penetration,4.1,percent,GSMA,2018-05-26
370,10,2016,,gdp_per_capita,42693,USD,IMF,2017-04-16
371,10,2020,,internet_penetration,86.5,percent,WeAreSocial,2021-04-06
372,2,2025,1,import_growth,-0.1,percent,WTO,2025-06-08
373,1,2024,4,retail_sales_growth,7.3,percent,Statista,2025-01-20
374,4,2022,1,export_growth,-5.0,percent,WTO,2022-05-08
375,8,2023,,population,8300000.0,people,UN Population Division,2024-05-26
376,1,2009,,gdp,534700000000.0,USD,IMF,2010-04-23
377,6,2025,,gdp_growth,7.6,percent,World Bank,2026-04-05
378,3,2023,2,retail_sales_growth,6.3,percent,Statista,2023-08-02
379,6,2020,3,gdp_growth,4.2,percent,World Bank,2020-10-22
380,5,2025,,internet_penetration,188.6,percent,GSMA,2026-04-08
381,2,2013,,gdp_per_capita,5341,USD,ADB,2014-05-01
382,8,2022,3,export_growth,1.2,percent,WTO,2022-11-15
383,3,2023,4,retail_sales_growth,3.6,percent,ASEANstats,2024-01-16
384,9,2024,2,inflation,2.7,percent,National Bank,2024-09-08
385,5,2023,4,export_growth,-3.3,percent,UNCTAD,2024-03-02
386,8,2021,,population,7400000.0,people,National Statistical Office,2022-05-29
387,9,2008,,gdp,35000000000.0,USD,National Statistics,2009-05-29
388,7,2024,,internet_penetration,4.4,percent,GSMA,2025-06-07
389,4,2025,,ecommerce_gmv,42500000000.0,USD,Statista,2026-05-16
390,6,2025,2,retail_sales_growth,9.0,percent,ASEANstats,2025-08-31
391,2,2025,,gdp_per_capita,6736,USD,World Bank,2026-04-01
392,2,2020,3,export_growth,16.0,percent,WTO,2020-11-02
393,4,2011,,gdp_growth,5.1,percent,IMF,2012-06-10
394,9,2015,,gdp,49600000000.0,USD,ADB,2016-06-24
395,10,2020,4,gdp_growth,6.2,percent,ADB,2021-01-15
